datetime,stock_code,exchange_code,product_type,expiry_date,right,strike_price,open,high,low,close,volume,open_interest,count
2025-09-08 09:15:00,NIFTY,NFO,Futures,30-SEP-25,Others,0,24888.7,24907.7,24886.5,24899.3,111750,17091525,0
2025-09-08 09:16:00,NIFTY,NFO,Futures,30-SEP-25,Others,0,24900,24903.7,24884.6,24894.2,53850,17091525,1
2025-09-08 09:17:00,NIFTY,NFO,Futures,30-SEP-25,Others,0,24893.4,24895,24886.3,24886.3,23475,17091525,2
2025-09-08 09:18:00,NIFTY,NFO,Futures,30-SEP-25,Others,0,24885,24889.9,24881,24882.6,19425,17082150,3
2025-09-08 09:19:00,NIFTY,NFO,Futures,30-SEP-25,Others,0,24884.4,24884.9,24874.8,24880.9,34425,17082150,4
2025-09-08 09:20:00,NIFTY,NFO,Futures,30-SEP-25,Others,0,24880.7,24880.7,24871,24878,26850,17082150,5
2025-09-08 09:21:00,NIFTY,NFO,Futures,30-SEP-25,Others,0,24882,24893,24881.2,24893,32400,17090850,6
2025-09-08 09:22:00,NIFTY,NFO,Futures,30-SEP-25,Others,0,24893,24900,24875.1,24875.1,46875,17090850,7
2025-09-08 09:23:00,NIFTY,NFO,Futures,30-SEP-25,Others,0,24875.1,24877,24865,24870,60675,17090850,8
2025-09-08 09:24:00,NIFTY,NFO,Futures,30-SEP-25,Others,0,24870,24870,24863,24865,29175,17060025,9
2025-09-08 09:25:00,NIFTY,NFO,Futures,30-SEP-25,Others,0,24866.7,24875,24863.8,24870.1,19050,17060025,10
2025-09-08 09:26:00,NIFTY,NFO,Futures,30-SEP-25,Others,0,24870.1,24880,24870.1,24880,20100,17060025,11
2025-09-08 09:27:00,NIFTY,NFO,Futures,30-SEP-25,Others,0,24881.5,24885.7,24875.1,24877.1,14625,17039250,12
2025-09-08 09:28:00,NIFTY,NFO,Futures,30-SEP-25,Others,0,24881.2,24899,24875.3,24896.2,25125,17039250,13
2025-09-08 09:29:00,NIFTY,NFO,Futures,30-SEP-25,Others,0,24896.6,24899.4,24885,24887.1,27675,17039250,14
2025-09-08 09:30:00,NIFTY,NFO,Futures,30-SEP-25,Others,0,24886.8,24903,24881,24903,27750,17029500,15
2025-09-08 09:31:00,NIFTY,NFO,Futures,30-SEP-25,Others,0,24905,24912,24902,24910,34650,17029500,16
2025-09-08 09:32:00,NIFTY,NFO,Futures,30-SEP-25,Others,0,24913.7,24916,24910,24910,16500,17029500,17
2025-09-08 09:33:00,NIFTY,NFO,Futures,30-SEP-25,Others,0,24911,24918.6,24910.7,24918.6,23025,17008275,18
2025-09-08 09:34:00,NIFTY,NFO,Futures,30-SEP-25,Others,0,24918.6,24923.6,24918.5,24923.6,69750,17008275,19
2025-09-08 09:35:00,NIFTY,NFO,Futures,30-SEP-25,Others,0,24923.5,24925.1,24920,24920.1,50100,17008275,20
2025-09-08 09:36:00,NIFTY,NFO,Futures,30-SEP-25,Others,0,24920,24923.8,24920,24920.3,8325,16988025,21
2025-09-08 09:37:00,NIFTY,NFO,Futures,30-SEP-25,Others,0,24923.8,24937.2,24923,24925.1,59700,16988025,22
2025-09-08 09:38:00,NIFTY,NFO,Futures,30-SEP-25,Others,0,24929.8,24929.8,24920,24926.9,53775,16988025,23
2025-09-08 09:39:00,NIFTY,NFO,Futures,30-SEP-25,Others,0,24923,24930,24920,24929,32100,16954575,24
2025-09-08 09:40:00,NIFTY,NFO,Futures,30-SEP-25,Others,0,24930,24941.8,24930,24939.8,39375,16954575,25
2025-09-08 09:41:00,NIFTY,NFO,Futures,30-SEP-25,Others,0,24939.8,24942.2,24931.1,24935,19575,16954575,26
2025-09-08 09:42:00,NIFTY,NFO,Futures,30-SEP-25,Others,0,24935,24935,24925.1,24925.1,12300,16944900,27
2025-09-08 09:43:00,NIFTY,NFO,Futures,30-SEP-25,Others,0,24926.9,24926.9,24920,24920.2,28575,16944900,28
