datetime,open,high,low,close,volume,open_interest
2025-10-16 09:15:00,25462.0,25509.9,25460.0,25500.0,373500,17997825
2025-10-16 09:20:00,25502.1,25518.6,25491.3,25505.0,239850,18112200
2025-10-16 09:25:00,25504.0,25519.0,25496.7,25514.9,103050,18123375
2025-10-16 09:30:00,25513.8,25526.2,25509.2,25519.2,87225,18135600
2025-10-16 09:35:00,25515.0,25524.5,25492.3,25492.3,72150,18037875
2025-10-16 09:40:00,25492.0,25515.0,25491.0,25514.4,90000,18047175
2025-10-16 09:45:00,25514.4,25522.0,25509.0,25515.0,69525,18043650
2025-10-16 09:50:00,25515.0,25530.0,25510.0,25529.0,90300,18075300
2025-10-16 09:55:00,25526.0,25533.6,25512.0,25513.5,66300,18076575
2025-10-16 10:00:00,25513.5,25529.7,25512.0,25529.0,57900,18080475
2025-10-16 10:05:00,25524.0,25530.0,25514.9,25522.5,41700,18076275
2025-10-16 10:10:00,25522.4,25522.5,25500.0,25502.0,103875,18081075
2025-10-16 10:15:00,25502.0,25518.6,25500.0,25516.2,57900,18120450
2025-10-16 10:20:00,25510.3,25524.6,25505.4,25523.9,45150,18113175
2025-10-16 10:25:00,25524.2,25537.4,25519.0,25533.0,86100,18115200
2025-10-16 10:30:00,25532.5,25539.9,25525.1,25534.5,29325,18113325
2025-10-16 10:35:00,25535.1,25538.0,25527.7,25532.7,23250,18115725
2025-10-16 10:40:00,25535.0,25539.8,25531.0,25539.8,22200,18113775
2025-10-16 10:45:00,25535.1,25550.0,25535.1,25547.1,97800,18119400
2025-10-16 10:50:00,25547.7,25548.5,25533.0,25542.5,48450,18123525
2025-10-16 10:55:00,25542.7,25550.0,25535.0,25550.0,38700,18121050
2025-10-16 11:00:00,25550.0,25553.3,25539.0,25547.4,64875,18122475
2025-10-16 11:05:00,25547.5,25548.8,25537.9,25544.0,53325,18125475
2025-10-16 11:10:00,25548.0,25550.0,25540.1,25546.5,39375,18139650
2025-10-16 11:15:00,25546.0,25550.0,25540.0,25546.2,37875,18138375
2025-10-16 11:20:00,25542.4,25548.0,25533.1,25536.0,30975,18137175
2025-10-16 11:25:00,25536.0,25548.0,25535.5,25546.0,93525,18200325
2025-10-16 11:30:00,25541.9,25555.0,25537.1,25540.0,96675,18275925
2025-10-16 11:35:00,25540.0,25542.1,25536.0,25542.0,35550,18262125
2025-10-16 11:40:00,25542.0,25547.9,25532.3,25538.0,21900,18270825
2025-10-16 11:45:00,25532.8,25540.0,25527.7,25530.0,31125,18271800
2025-10-16 11:50:00,25531.1,25550.0,25527.1,25549.5,40650,18276900
2025-10-16 11:55:00,25547.7,25549.9,25541.0,25543.9,45525,18277350
2025-10-16 12:00:00,25544.7,25551.6,25543.9,25548.2,31650,18278700
2025-10-16 12:05:00,25548.0,25552.1,25540.0,25547.0,30675,18282000
2025-10-16 12:10:00,25546.9,25570.0,25545.6,25570.0,72225,18274575
2025-10-16 12:15:00,25569.9,25575.1,25560.1,25573.4,92100,18267000
2025-10-16 12:20:00,25573.4,25585.0,25570.8,25582.9,113475,18277950
2025-10-16 12:25:00,25582.7,25594.0,25582.4,25588.8,83550,18283050
2025-10-16 12:30:00,25590.0,25599.0,25588.0,25597.0,100875,18283350
2025-10-16 12:35:00,25599.0,25607.1,25591.1,25605.0,83925,18275550
2025-10-16 12:40:00,25605.0,25609.5,25589.9,25592.5,63300,18279075
2025-10-16 12:45:00,25592.3,25598.9,25586.8,25594.0,63450,18297675
2025-10-16 12:50:00,25589.8,25609.0,25589.5,25604.0,36300,18292200
2025-10-16 12:55:00,25603.5,25608.0,25595.7,25595.7,26925,18296400
2025-10-16 13:00:00,25596.0,25609.0,25595.0,25608.5,27900,18296475
2025-10-16 13:05:00,25606.9,25608.0,25599.1,25600.0,25800,18297075
2025-10-16 13:10:00,25599.8,25615.0,25599.0,25615.0,33975,18301800
2025-10-16 13:15:00,25615.0,25615.0,25599.1,25599.5,53175,18320250
2025-10-16 13:20:00,25599.5,25611.7,25599.1,25600.5,35175,18313500
2025-10-16 13:25:00,25607.0,25619.0,25600.0,25608.4,80625,18321525
2025-10-16 13:30:00,25609.5,25619.7,25602.8,25618.1,62700,18376725
2025-10-16 13:35:00,25618.1,25623.0,25611.2,25620.0,58800,18380100
2025-10-16 13:40:00,25620.0,25628.7,25611.2,25628.7,72450,18397575
2025-10-16 13:45:00,25628.7,25634.5,25625.2,25628.2,59925,18404325
2025-10-16 13:50:00,25630.0,25630.0,25621.1,25625.0,30600,18408375
2025-10-16 13:55:00,25627.0,25630.8,25620.9,25625.1,29625,18410400
2025-10-16 14:00:00,25628.0,25640.0,25625.1,25640.0,65625,18235425
2025-10-16 14:05:00,25636.0,25667.4,25635.4,25660.1,130050,18241725
2025-10-16 14:10:00,25659.2,25669.0,25653.6,25657.0,88875,18261825
2025-10-16 14:15:00,25655.9,25664.0,25637.9,25650.0,170625,18265275
2025-10-16 14:20:00,25650.0,25671.1,25648.9,25670.8,78375,18268050
2025-10-16 14:25:00,25670.7,25672.4,25660.0,25667.6,127200,18270000
2025-10-16 14:30:00,25667.7,25675.5,25660.2,25674.0,87150,18281550
2025-10-16 14:35:00,25674.9,25699.4,25673.0,25683.8,148800,18319425
2025-10-16 14:40:00,25686.0,25696.8,25685.0,25692.6,158250,18367050
2025-10-16 14:45:00,25691.4,25696.5,25675.0,25678.8,204300,18367500
2025-10-16 14:50:00,25678.5,25693.0,25671.0,25688.2,281775,18377175
2025-10-16 14:55:00,25688.2,25696.4,25679.8,25693.0,144975,18405600
2025-10-16 15:00:00,25693.0,25698.8,25666.0,25670.0,123300,18409875
