datetime,open,high,low,close,volume,open_interest
2025-09-09 09:15:00,24931.2,24960.0,24931.2,24945.0,262200,16966275
2025-09-09 09:20:00,24944.7,24968.0,24940.2,24945.0,162150,16954950
2025-09-09 09:25:00,24942.0,24954.0,24937.7,24952.3,94050,16956900
2025-09-09 09:30:00,24950.0,24962.0,24931.2,24935.0,77700,16975800
2025-09-09 09:35:00,24934.0,24957.7,24931.8,24945.0,51975,16975050
2025-09-09 09:40:00,24940.7,24952.0,24936.1,24950.4,45900,16969275
2025-09-09 09:45:00,24951.4,24959.7,24947.0,24947.0,62475,16979025
2025-09-09 09:50:00,24945.0,24955.0,24942.7,24951.1,33600,16984725
2025-09-09 09:55:00,24953.1,24958.0,24941.0,24948.0,20775,16987500
2025-09-09 10:00:00,24948.5,24949.8,24935.0,24945.3,31800,16995075
2025-09-09 10:05:00,24944.9,24944.9,24935.8,24939.8,12600,16995300
2025-09-09 10:10:00,24938.0,24941.0,24916.1,24918.9,55725,16993275
2025-09-09 10:15:00,24918.9,24932.0,24913.2,24922.5,44550,16995000
2025-09-09 10:20:00,24922.0,24929.0,24910.0,24925.0,34500,16993650
2025-09-09 10:25:00,24925.9,24930.0,24918.0,24924.9,19350,16995600
2025-09-09 10:30:00,24928.0,24930.0,24917.0,24930.0,12225,17000850
2025-09-09 10:35:00,24930.8,24932.6,24917.0,24917.0,18900,17005875
2025-09-09 10:40:00,24917.7,24924.3,24911.0,24922.0,18975,17006025
2025-09-09 10:45:00,24919.0,24924.4,24913.1,24918.0,16125,17008125
2025-09-09 10:50:00,24923.0,24929.0,24916.4,24919.9,14025,17005500
2025-09-09 10:55:00,24915.1,24934.5,24915.0,24933.1,27750,17005050
2025-09-09 11:00:00,24930.0,24945.9,24927.9,24933.0,54975,17013225
2025-09-09 11:05:00,24932.3,24942.9,24932.3,24937.0,13725,17011200
2025-09-09 11:10:00,24939.0,24944.2,24931.0,24937.5,31275,17022225
2025-09-09 11:15:00,24937.5,24941.9,24935.0,24937.0,7425,17021550
2025-09-09 11:20:00,24937.0,24955.8,24935.1,24944.6,49200,17017650
2025-09-09 11:25:00,24949.0,24950.0,24940.6,24940.6,15450,17010600
2025-09-09 11:30:00,24940.3,24940.3,24924.3,24940.1,23475,17012550
2025-09-09 11:35:00,24935.3,24945.0,24935.3,24943.0,10125,17012625
2025-09-09 11:40:00,24940.0,24945.0,24940.0,24944.0,8550,17009250
2025-09-09 11:45:00,24944.0,24945.0,24935.0,24936.1,7800,17011275
2025-09-09 11:50:00,24936.1,24942.0,24932.0,24935.0,5550,17012400
2025-09-09 11:55:00,24935.0,24947.8,24930.9,24947.8,14475,17011425
2025-09-09 12:00:00,24947.4,24947.4,24930.0,24933.4,7050,17015550
2025-09-09 12:05:00,24930.0,24932.9,24915.2,24920.0,27600,17016075
2025-09-09 12:10:00,24915.1,24939.0,24915.0,24934.5,21675,17019750
2025-09-09 12:15:00,24938.8,24943.3,24932.0,24940.9,10500,17021400
2025-09-09 12:20:00,24943.3,24955.5,24940.2,24948.0,28725,17018400
2025-09-09 12:25:00,24948.8,24948.9,24937.5,24937.6,15450,17016675
2025-09-09 12:30:00,24937.6,24949.0,24937.6,24945.8,6225,17019900
2025-09-09 12:35:00,24949.0,24949.7,24942.5,24945.0,4725,17019075
2025-09-09 12:40:00,24942.8,24949.0,24940.0,24949.0,5550,17018550
2025-09-09 12:45:00,24944.4,24960.0,24943.4,24955.0,48750,17022375
