datetime,open,high,low,close,volume,open_interest
2025-01-10 09:15:00,23625.05,23643.55,23556.25,23633.0,209150,13662575
2025-01-10 09:20:00,23630.25,23660.0,23630.25,23633.75,138025,13714675
2025-01-10 09:25:00,23637.85,23642.45,23591.0,23599.15,180225,13740150
2025-01-10 09:30:00,23595.15,23605.0,23528.95,23539.9,233775,13759375
2025-01-10 09:35:00,23542.75,23543.0,23515.0,23516.0,208825,13763475
2025-01-10 09:40:00,23516.85,23556.9,23509.55,23537.5,142125,13767425
2025-01-10 09:45:00,23540.1,23540.1,23491.0,23499.9,161550,13775100
2025-01-10 09:50:00,23498.2,23515.0,23490.0,23495.75,121325,13815150
2025-01-10 09:55:00,23495.0,23508.0,23446.0,23450.35,198450,13835525
2025-01-10 10:00:00,23448.05,23468.8,23435.65,23436.6,159425,13854950
2025-01-10 10:05:00,23436.0,23474.4,23430.0,23474.4,130375,13897575
2025-01-10 10:10:00,23473.4,23481.0,23453.0,23474.7,106800,13895200
2025-01-10 10:15:00,23474.1,23495.5,23461.0,23495.5,94525,13892300
2025-01-10 10:20:00,23494.35,23525.05,23480.0,23523.25,130650,13893250
2025-01-10 10:25:00,23515.85,23522.15,23480.0,23483.9,72375,13892150
2025-01-10 10:30:00,23480.0,23497.0,23470.0,23474.0,38700,13910250
2025-01-10 10:35:00,23472.0,23505.35,23468.75,23478.0,59100,13926075
2025-01-10 10:40:00,23476.0,23523.55,23476.0,23515.3,58675,13932875
2025-01-10 10:45:00,23519.15,23554.4,23510.0,23539.15,125425,13928525
2025-01-10 10:50:00,23532.45,23554.7,23521.35,23545.0,61475,13931275
2025-01-10 10:55:00,23543.95,23553.0,23534.25,23541.3,49275,13938925
2025-01-10 11:00:00,23544.0,23607.0,23544.0,23601.35,161050,13934525
2025-01-10 11:05:00,23601.3,23633.0,23601.3,23617.0,219100,13890575
2025-01-10 11:10:00,23617.15,23638.0,23603.0,23638.0,159325,13891300
2025-01-10 11:15:00,23643.0,23684.9,23643.0,23671.6,382200,13802700
2025-01-10 11:20:00,23671.7,23675.0,23617.6,23633.7,109600,13815700
2025-01-10 11:25:00,23629.7,23639.95,23601.0,23636.75,81600,13826475
2025-01-10 11:30:00,23637.8,23678.45,23637.8,23669.45,108800,13834000
2025-01-10 11:35:00,23670.0,23672.85,23641.85,23646.55,48000,13835700
2025-01-10 11:40:00,23641.8,23649.9,23586.1,23597.5,98025,13817025
2025-01-10 11:45:00,23596.0,23624.05,23580.05,23601.2,88125,13828150
2025-01-10 11:50:00,23604.2,23610.05,23590.0,23594.25,46250,13843675
2025-01-10 11:55:00,23589.0,23624.0,23584.4,23616.3,44500,13835225
2025-01-10 12:00:00,23613.6,23634.0,23601.55,23621.45,46425,13824650
2025-01-10 12:05:00,23620.75,23623.35,23580.0,23580.0,35800,13813725
2025-01-10 12:10:00,23580.8,23601.05,23550.1,23598.0,124800,13797775
2025-01-10 12:15:00,23596.4,23648.1,23591.8,23629.4,100600,13797875
2025-01-10 12:20:00,23629.55,23634.0,23594.2,23599.0,52900,13792550
2025-01-10 12:25:00,23591.1,23604.25,23585.0,23585.0,40050,13794025
2025-01-10 12:30:00,23589.0,23609.15,23572.0,23576.85,39475,13795175
2025-01-10 12:35:00,23580.0,23593.85,23571.65,23576.8,32850,13790750
