open,high,low,close,volume,open_interest,datetime
24687.0,24698.1,24672.3,24694.0,46540,12318540,2026-08-06 09:15:00
24694.1,24710.0,24684.9,24699.2,32630,12324325,2026-08-06 09:16:00
24699.2,24718.0,24699.1,24715.1,31525,12331150,2026-08-06 09:17:00
24716.2,24719.9,24696.3,24699.5,14950,12331150,2026-08-06 09:18:00
24700.0,24702.0,24693.1,24700.0,15925,12335505,2026-08-06 09:19:00
24701.6,24715.0,24698.0,24715.0,14170,12335505,2026-08-06 09:20:00
24710.0,24715.0,24701.5,24709.9,11375,12337975,2026-08-06 09:21:00
24713.0,24715.5,24711.9,24715.5,17485,12339795,2026-08-06 09:22:00
24715.0,24719.9,24713.0,24718.5,8385,12336935,2026-08-06 09:23:00
24718.5,24719.1,24713.0,24715.0,7670,12336025,2026-08-06 09:24:00
24713.0,24715.0,24704.6,24710.0,13000,12336155,2026-08-06 09:25:00
24715.0,24719.0,24712.4,24717.0,11830,12329850,2026-08-06 09:26:00
24717.0,24724.0,24713.5,24717.1,35685,12315550,2026-08-06 09:27:00
24720.0,24720.0,24715.0,24715.0,7605,12278890,2026-08-06 09:28:00
24715.0,24719.5,24709.9,24717.5,11570,12279280,2026-08-06 09:29:00
24717.5,24725.0,24716.4,24724.0,14755,12279345,2026-08-06 09:30:00
24724.1,24730.0,24715.0,24720.0,26780,12270375,2026-08-06 09:31:00
24714.0,24723.3,24714.0,24716.1,6565,12273755,2026-08-06 09:32:00
24716.1,24720.0,24712.5,24715.0,16965,12271870,2026-08-06 09:33:00
24715.0,24720.0,24701.0,24715.0,21515,12269205,2026-08-06 09:34:00
24715.0,24722.0,24709.0,24719.6,15925,12269270,2026-08-06 09:35:00
24720.0,24722.0,24708.8,24713.1,10205,12259845,2026-08-06 09:36:00
24712.9,24719.2,24710.0,24713.0,5330,12259325,2026-08-06 09:37:00
24712.5,24725.0,24712.5,24724.1,7540,12245545,2026-08-06 09:38:00
24724.0,24727.5,24720.6,24724.9,8580,12236705,2026-08-06 09:39:00
24725.0,24727.0,24719.5,24725.7,9100,12235925,2026-08-06 09:40:00
24725.6,24728.0,24725.0,24725.0,7670,12237680,2026-08-06 09:41:00
24722.1,24725.4,24719.6,24720.1,6435,12238590,2026-08-06 09:42:00
24720.0,24725.3,24719.8,24720.5,6370,12216685,2026-08-06 09:43:00
