datetime,open,high,low,close,volume,open_interest
2025-06-17 09:15:00,24996.1,25003.5,24916.4,24923.5,374100,11788650
2025-06-17 09:20:00,24925.1,24939.3,24900.0,24920.2,269175,11773050
2025-06-17 09:25:00,24923.4,24933.0,24905.0,24911.9,178500,11761575
2025-06-17 09:30:00,24910.5,24946.7,24891.0,24922.0,253125,11757600
2025-06-17 09:35:00,24923.7,24953.7,24912.9,24928.3,143925,11774250
2025-06-17 09:40:00,24929.3,24930.2,24892.8,24911.0,139425,11784750
2025-06-17 09:45:00,24912.9,24915.3,24896.2,24900.9,70050,11800875
2025-06-17 09:50:00,24901.0,24915.0,24881.0,24881.0,91500,11824275
2025-06-17 09:55:00,24881.7,24904.3,24881.6,24904.3,79125,11825400
2025-06-17 10:00:00,24903.1,24905.0,24875.2,24884.8,88650,11815650
2025-06-17 10:05:00,24884.8,24894.9,24880.1,24884.5,44625,11809725
2025-06-17 10:10:00,24884.0,24895.4,24875.0,24889.9,62250,11809875
2025-06-17 10:15:00,24890.0,24916.9,24883.3,24913.1,78825,11814225
2025-06-17 10:20:00,24913.6,24916.0,24901.1,24908.0,29475,11818650
2025-06-17 10:25:00,24908.0,24920.0,24892.4,24903.7,44475,11783550
2025-06-17 10:30:00,24904.6,24923.8,24896.2,24920.7,43950,11802825
2025-06-17 10:35:00,24920.0,24940.0,24918.9,24925.0,80700,11808375
2025-06-17 10:40:00,24925.0,24939.0,24925.0,24933.0,41850,11807025
2025-06-17 10:45:00,24932.0,24934.1,24905.0,24905.0,59175,11803200
2025-06-17 10:50:00,24906.0,24913.0,24902.4,24909.9,26475,11804475
2025-06-17 10:55:00,24909.9,24913.2,24902.5,24908.7,23400,11800800
2025-06-17 11:00:00,24907.0,24909.2,24895.3,24899.7,31425,11810625
2025-06-17 11:05:00,24900.0,24908.2,24900.0,24900.1,26850,11817375
2025-06-17 11:10:00,24901.1,24912.1,24898.0,24910.7,16275,11821650
2025-06-17 11:15:00,24911.0,24917.7,24901.1,24901.1,28575,11832000
2025-06-17 11:20:00,24901.2,24918.5,24899.5,24910.0,24150,11831325
2025-06-17 11:25:00,24914.4,24922.9,24905.7,24922.8,26775,11831700
2025-06-17 11:30:00,24922.9,24927.6,24913.8,24925.5,34425,11845875
2025-06-17 11:35:00,24925.0,24926.6,24912.2,24921.1,20100,11856825
2025-06-17 11:40:00,24923.3,24927.9,24920.0,24923.4,24750,11869725
2025-06-17 11:45:00,24927.1,24928.6,24914.0,24920.0,20925,11876475
2025-06-17 11:50:00,24920.0,24921.4,24903.0,24903.9,28050,11883450
2025-06-17 11:55:00,24904.0,24910.0,24901.0,24903.0,40350,11887800
2025-06-17 12:00:00,24903.0,24907.0,24897.1,24900.0,39750,11892150
2025-06-17 12:05:00,24900.0,24908.8,24895.4,24906.1,37575,11896650
2025-06-17 12:10:00,24908.8,24912.0,24886.8,24887.8,57450,11900325
2025-06-17 12:15:00,24888.0,24903.0,24885.2,24897.2,49650,11903400
2025-06-17 12:20:00,24897.0,24904.3,24892.1,24896.0,15675,11908350
2025-06-17 12:25:00,24896.0,24900.5,24886.7,24897.2,36975,11911950
2025-06-17 12:30:00,24897.2,24901.5,24888.1,24891.0,23175,11915925
2025-06-17 12:35:00,24891.0,24896.3,24885.5,24885.5,28725,11914575
2025-06-17 12:40:00,24885.5,24890.9,24863.8,24870.5,147075,11916450
2025-06-17 12:45:00,24870.8,24879.8,24863.4,24871.0,49650,11907150
2025-06-17 12:50:00,24870.0,24875.0,24850.0,24852.4,135300,11899200
2025-06-17 12:55:00,24850.3,24863.0,24839.1,24855.0,108450,11880225
2025-06-17 13:00:00,24855.7,24864.8,24850.0,24860.0,38550,11879475
2025-06-17 13:05:00,24861.0,24870.6,24860.0,24870.0,35325,11884725
2025-06-17 13:10:00,24870.0,24875.0,24864.2,24874.0,19275,11889300
2025-06-17 13:15:00,24874.0,24879.0,24870.0,24875.0,26550,11892900
2025-06-17 13:20:00,24874.0,24875.1,24861.0,24872.5,40200,11894925
2025-06-17 13:25:00,24875.0,24884.9,24872.3,24878.1,27225,11892075
2025-06-17 13:30:00,24878.1,24888.8,24875.0,24887.7,32625,11901225
2025-06-17 13:35:00,24887.0,24892.0,24883.1,24884.1,31800,11900550
2025-06-17 13:40:00,24884.1,24889.9,24880.6,24885.0,18000,11909325
2025-06-17 13:45:00,24884.0,24886.0,24877.1,24881.5,13050,11901300
2025-06-17 13:50:00,24884.0,24892.0,24877.3,24891.7,24525,11899350
2025-06-17 13:55:00,24891.8,24892.0,24878.0,24882.0,24600,11906325
2025-06-17 14:00:00,24881.0,24884.9,24878.1,24883.3,9450,11906700
2025-06-17 14:05:00,24883.3,24898.5,24881.1,24896.9,27600,11907375
2025-06-17 14:10:00,24897.0,24901.4,24888.0,24895.8,66300,11956200
2025-06-17 14:15:00,24895.1,24898.9,24885.0,24895.0,30450,11963850
