datetime,stock_code,exchange_code,product_type,expiry_date,right,strike_price,open,high,low,close,volume,open_interest,count
2020-01-23 09:15:00,NIFTY,NFO,Futures,30-JAN-20,Others,0,12138.8496,12151.4502,12126.4004,12130.6504,138678,12877650,0
2020-01-23 09:16:00,NIFTY,NFO,Futures,30-JAN-20,Others,0,12133.0996,12133.0996,12110.1504,12117.0498,101100,12877650,1
2020-01-23 09:17:00,NIFTY,NFO,Futures,30-JAN-20,Others,0,12117.2002,12123.0996,12117.2002,12120.1504,66450,12895800,2
2020-01-23 09:18:00,NIFTY,NFO,Futures,30-JAN-20,Others,0,12119.9004,12131.9502,12117.8496,12131.9502,63975,12895800,3
2020-01-23 09:19:00,NIFTY,NFO,Futures,30-JAN-20,Others,0,12131.7998,12136.25,12129.6504,12133,72150,12895800,4
2020-01-23 09:20:00,NIFTY,NFO,Futures,30-JAN-20,Others,0,12132,12133.5498,12128,12132.0996,53475,12987900,5
2020-01-23 09:21:00,NIFTY,NFO,Futures,30-JAN-20,Others,0,12133,12147.2002,12132.9502,12145.4004,60825,12987900,6
2020-01-23 09:22:00,NIFTY,NFO,Futures,30-JAN-20,Others,0,12145,12156.25,12143.0498,12154.5498,91950,12987900,7
2020-01-23 09:23:00,NIFTY,NFO,Futures,30-JAN-20,Others,0,12151.9502,12159,12147.5498,12155.0996,91725,13071450,8
2020-01-23 09:24:00,NIFTY,NFO,Futures,30-JAN-20,Others,0,12155,12162.3496,12152.75,12156.7002,95325,13071450,9
2020-01-23 09:25:00,NIFTY,NFO,Futures,30-JAN-20,Others,0,12158.7998,12161.25,12153.5498,12154,66525,13071450,10
2020-01-23 09:26:00,NIFTY,NFO,Futures,30-JAN-20,Others,0,12153.7998,12155.5498,12148.7002,12149,47550,13177650,11
2020-01-23 09:27:00,NIFTY,NFO,Futures,30-JAN-20,Others,0,12149.0498,12153,12145.8496,12153,32925,13177650,12
2020-01-23 09:28:00,NIFTY,NFO,Futures,30-JAN-20,Others,0,12152,12159.5,12150.5498,12158.0996,39225,13177650,13
2020-01-23 09:29:00,NIFTY,NFO,Futures,30-JAN-20,Others,0,12158.0996,12161,12154.2002,12156.5996,45675,13172325,14
2020-01-23 09:30:00,NIFTY,NFO,Futures,30-JAN-20,Others,0,12156,12160,12154.2998,12156,43125,13172325,15
2020-01-23 09:31:00,NIFTY,NFO,Futures,30-JAN-20,Others,0,12154.7998,12159.5996,12151.0996,12153.2002,27750,13172325,16
2020-01-23 09:32:00,NIFTY,NFO,Futures,30-JAN-20,Others,0,12150.7002,12155.75,12150.7002,12155.75,19800,13202100,17
2020-01-23 09:33:00,NIFTY,NFO,Futures,30-JAN-20,Others,0,12155,12159.9004,12153.7998,12156.9502,28050,13202100,18
