datetime,open,high,low,close,volume,open_interest
2025-03-04 09:15:00,22115.6,22149.0,22101.0,22120.0,589725,17993025
2025-03-04 09:20:00,22120.0,22185.0,22115.0,22172.05,372825,18208350
2025-03-04 09:25:00,22173.05,22176.9,22128.25,22137.0,196050,18229875
2025-03-04 09:30:00,22135.4,22163.95,22130.0,22156.4,91275,18352575
2025-03-04 09:35:00,22153.5,22178.0,22147.0,22171.0,112425,18383625
2025-03-04 09:40:00,22172.9,22198.8,22162.95,22165.5,135450,18416700
2025-03-04 09:45:00,22165.4,22185.8,22148.0,22182.3,145650,18405375
2025-03-04 09:50:00,22184.0,22199.9,22172.4,22199.9,109350,18426150
2025-03-04 09:55:00,22199.9,22206.65,22180.0,22189.55,94500,18419625
2025-03-04 10:00:00,22185.3,22230.0,22185.3,22216.9,118500,18394200
2025-03-04 10:05:00,22218.4,22219.55,22177.5,22178.0,100725,18393450
2025-03-04 10:10:00,22177.35,22189.7,22171.0,22189.4,65025,18406650
2025-03-04 10:15:00,22190.0,22205.0,22186.1,22200.0,51975,18438000
2025-03-04 10:20:00,22202.6,22221.75,22200.05,22220.9,67200,18461775
2025-03-04 10:25:00,22220.9,22221.95,22194.45,22195.0,48525,18460800
2025-03-04 10:30:00,22196.0,22215.45,22185.0,22208.65,46575,18452850
2025-03-04 10:35:00,22207.0,22210.65,22194.0,22194.0,20925,18456750
2025-03-04 10:40:00,22193.35,22201.0,22184.2,22186.0,19125,18454875
2025-03-04 10:45:00,22185.0,22203.9,22185.0,22198.4,21525,18465300
2025-03-04 10:50:00,22196.5,22206.05,22191.0,22200.15,32475,18474825
2025-03-04 10:55:00,22200.15,22214.0,22195.1,22208.35,23175,18479700
2025-03-04 11:00:00,22210.0,22227.3,22200.8,22227.0,61275,18474825
2025-03-04 11:05:00,22227.3,22237.0,22217.1,22218.55,94725,18481500
2025-03-04 11:10:00,22218.6,22222.85,22211.1,22211.15,23775,18483225
2025-03-04 11:15:00,22215.4,22216.25,22192.35,22198.0,40950,18489225
2025-03-04 11:20:00,22199.0,22209.8,22196.3,22200.0,19500,18486975
2025-03-04 11:25:00,22199.0,22207.85,22192.7,22195.0,23475,18487875
2025-03-04 11:30:00,22195.6,22207.4,22195.25,22205.0,10875,18486300
2025-03-04 11:35:00,22204.55,22209.0,22195.3,22195.3,16725,18492075
2025-03-04 11:40:00,22199.9,22199.9,22191.05,22191.1,26625,18489900
2025-03-04 11:45:00,22191.05,22191.05,22170.0,22175.05,70050,18451875
2025-03-04 11:50:00,22178.0,22190.0,22175.0,22185.1,27675,18462750
2025-03-04 11:55:00,22185.35,22194.1,22185.35,22190.7,15000,18467100
2025-03-04 12:00:00,22190.8,22192.95,22176.55,22184.85,30675,18474825
2025-03-04 12:05:00,22184.05,22184.05,22166.1,22175.0,33150,18472425
2025-03-04 12:10:00,22175.0,22179.0,22172.0,22175.35,32475,18484650
2025-03-04 12:15:00,22173.75,22180.1,22164.0,22180.05,50100,18481650
2025-03-04 12:20:00,22180.1,22188.55,22175.9,22179.55,20850,18485100
2025-03-04 12:25:00,22179.55,22194.0,22179.55,22190.5,15225,18486075
2025-03-04 12:30:00,22190.6,22195.75,22186.0,22190.0,9900,18490275
2025-03-04 12:35:00,22193.0,22194.95,22186.15,22187.2,17550,18495375
2025-03-04 12:40:00,22187.7,22192.9,22179.2,22180.1,16725,18496425
2025-03-04 12:45:00,22180.1,22185.0,22172.8,22179.0,14100,18502725
2025-03-04 12:50:00,22179.0,22180.0,22171.0,22173.15,19650,18502275
2025-03-04 12:55:00,22173.2,22180.0,22167.5,22170.0,17550,18501825
2025-03-04 13:00:00,22170.05,22172.25,22153.75,22158.0,51300,18505875
2025-03-04 13:05:00,22158.0,22164.0,22151.0,22161.95,51825,18504750
2025-03-04 13:10:00,22164.0,22170.15,22157.5,22168.0,45825,18520050
2025-03-04 13:15:00,22168.05,22177.85,22166.2,22177.0,20700,18533400
2025-03-04 13:20:00,22173.3,22178.0,22167.05,22168.05,23400,18537600
2025-03-04 13:25:00,22171.75,22178.0,22166.0,22169.9,22650,18543975
2025-03-04 13:30:00,22166.85,22172.0,22160.05,22164.75,33675,18540600
2025-03-04 13:35:00,22168.0,22168.85,22151.0,22158.0,46950,18514275
2025-03-04 13:40:00,22158.0,22166.9,22151.9,22166.9,30825,18520950
2025-03-04 13:45:00,22166.9,22169.0,22160.0,22163.85,20550,18538125
2025-03-04 13:50:00,22163.85,22179.45,22161.05,22179.05,29625,18545175
2025-03-04 13:55:00,22178.0,22187.4,22175.0,22185.0,33900,18548025
2025-03-04 14:00:00,22182.65,22195.05,22181.0,22187.0,37875,18560625
2025-03-04 14:05:00,22186.15,22202.0,22185.0,22202.0,40800,18556050
2025-03-04 14:10:00,22202.9,22220.0,22200.0,22208.45,102225,18565650
2025-03-04 14:15:00,22208.5,22210.0,22200.0,22209.0,36900,18588300
2025-03-04 14:20:00,22210.0,22210.0,22200.1,22203.5,62475,18596550
2025-03-04 14:25:00,22200.7,22212.8,22195.75,22201.85,73950,18594075
2025-03-04 14:30:00,22204.4,22205.85,22191.55,22197.15,23850,18605025
2025-03-04 14:35:00,22197.4,22209.0,22195.95,22204.0,26250,18602025
2025-03-04 14:40:00,22204.05,22207.9,22195.05,22196.15,20250,18605400
2025-03-04 14:45:00,22196.25,22199.7,22183.0,22193.0,50475,18598800
2025-03-04 14:50:00,22194.0,22211.4,22190.05,22207.05,42825,18586875
2025-03-04 14:55:00,22207.65,22211.0,22201.05,22210.55,37125,18590550
2025-03-04 15:00:00,22208.05,22209.0,22193.5,22196.8,88800,18594975
2025-03-04 15:05:00,22196.8,22203.6,22191.0,22198.6,68250,18594150
2025-03-04 15:10:00,22200.0,22200.0,22185.0,22190.0,94875,18613050
2025-03-04 15:15:00,22186.0,22195.0,22183.7,22195.0,90225,18604950
2025-03-04 15:20:00,22195.0,22196.85,22186.45,22186.9,96825,18598725
2025-03-04 15:25:00,22186.9,22187.65,22180.65,22184.8,150750,18594075
