open,high,low,close,volume,open_interest,datetime
24126.3,24137.0,24075.0,24075.0,114725,14335685,2026-07-22 09:15:00
24079.9,24085.1,24067.0,24072.1,48165,14360320,2026-07-22 09:16:00
24073.1,24073.1,24055.1,24060.0,39130,14358500,2026-07-22 09:17:00
24059.0,24076.0,24055.8,24076.0,20735,14365000,2026-07-22 09:18:00
24078.0,24086.0,24068.0,24083.3,17875,14365715,2026-07-22 09:19:00
24080.1,24090.0,24075.0,24082.5,11180,14372020,2026-07-22 09:20:00
24090.0,24095.0,24075.0,24075.0,17485,14376115,2026-07-22 09:21:00
24078.0,24082.0,24065.1,24082.0,18395,14384370,2026-07-22 09:22:00
24082.5,24086.8,24072.0,24080.0,12610,14382420,2026-07-22 09:23:00
24080.0,24088.2,24073.0,24078.0,14040,14385540,2026-07-22 09:24:00
24085.8,24088.1,24075.7,24077.6,7735,14385995,2026-07-22 09:25:00
24080.0,24080.0,24062.0,24066.0,16835,14387815,2026-07-22 09:26:00
24065.0,24066.5,24055.4,24065.0,16640,14391455,2026-07-22 09:27:00
24062.6,24064.9,24055.0,24058.5,18330,14395420,2026-07-22 09:28:00
24057.1,24059.5,24050.1,24051.0,50960,14395030,2026-07-22 09:29:00
24053.9,24062.0,24050.0,24052.5,28665,14419535,2026-07-22 09:30:00
24052.0,24053.0,24030.1,24030.1,56810,14419210,2026-07-22 09:31:00
24034.5,24042.4,24025.3,24031.7,62530,14425190,2026-07-22 09:32:00
24039.5,24041.8,24026.0,24030.0,26000,14446965,2026-07-22 09:33:00
24030.0,24035.0,24025.5,24026.0,23205,14448330,2026-07-22 09:34:00
24030.5,24033.0,24017.2,24029.5,43355,14453920,2026-07-22 09:35:00
24028.9,24031.0,24019.0,24025.0,26585,14456585,2026-07-22 09:36:00
24024.0,24031.9,24017.5,24027.5,22425,14456780,2026-07-22 09:37:00
24027.6,24040.0,24025.0,24036.0,31915,14457820,2026-07-22 09:38:00
24036.0,24036.0,24024.0,24027.6,19305,14473225,2026-07-22 09:39:00
24026.0,24037.0,24025.0,24036.0,13325,14475435,2026-07-22 09:40:00
24032.0,24036.2,24027.0,24032.0,11180,14477125,2026-07-22 09:41:00
24032.0,24035.5,24027.0,24032.0,10660,14480895,2026-07-22 09:42:00
24032.0,24035.7,24025.6,24026.5,15535,14485640,2026-07-22 09:43:00
24026.0,24032.0,24025.8,24027.0,7865,14493180,2026-07-22 09:44:00
24025.8,24032.0,24025.6,24030.0,8840,14490515,2026-07-22 09:45:00
24028.5,24030.0,24025.0,24025.0,11570,14489410,2026-07-22 09:46:00
24024.5,24027.0,24011.0,24015.0,31460,14497470,2026-07-22 09:47:00
24011.0,24020.0,24011.0,24012.0,13845,14499160,2026-07-22 09:48:00
