datetime,stock_code,exchange_code,product_type,expiry_date,right,strike_price,open,high,low,close,volume,open_interest,count
2016-10-24 09:15:00,NIFTY,NFO,Futures,27-OCT-16,Others,0,8718,8729.75,8712,8725.4502,182927,18228150,0
2016-10-24 09:16:00,NIFTY,NFO,Futures,27-OCT-16,Others,0,8724.9502,8726.9502,8721.2998,8721.2998,67200,18272700,1
2016-10-24 09:17:00,NIFTY,NFO,Futures,27-OCT-16,Others,0,8721.2998,8722.9502,8716,8717.1504,47475,18272700,2
2016-10-24 09:18:00,NIFTY,NFO,Futures,27-OCT-16,Others,0,8717.8496,8723.3496,8717.8496,8722.6504,42600,18272700,3
2016-10-24 09:19:00,NIFTY,NFO,Futures,27-OCT-16,Others,0,8722.6504,8724,8721.7002,8722,40200,18324976,4
2016-10-24 09:20:00,NIFTY,NFO,Futures,27-OCT-16,Others,0,8722,8731.75,8722,8727.0996,93900,18324976,5
2016-10-24 09:21:00,NIFTY,NFO,Futures,27-OCT-16,Others,0,8725.9004,8726.4004,8720.9502,8721.4502,34800,18324976,6
2016-10-24 09:22:00,NIFTY,NFO,Futures,27-OCT-16,Others,0,8723,8725,8722.3496,8723.4004,37350,18366150,7
2016-10-24 09:23:00,NIFTY,NFO,Futures,27-OCT-16,Others,0,8724,8727.9502,8723.5498,8727,39975,18366150,8
2016-10-24 09:24:00,NIFTY,NFO,Futures,27-OCT-16,Others,0,8727.2998,8727.8496,8724.6504,8726,21075,18366150,9
2016-10-24 09:25:00,NIFTY,NFO,Futures,27-OCT-16,Others,0,8725.9502,8726,8722,8724.4004,52500,18391424,10
2016-10-24 09:26:00,NIFTY,NFO,Futures,27-OCT-16,Others,0,8724.3496,8724.3496,8719.3496,8719.3496,37350,18391424,11
2016-10-24 09:27:00,NIFTY,NFO,Futures,27-OCT-16,Others,0,8718.9004,8719.9502,8716.3496,8716.9502,35925,18391424,12
2016-10-24 09:28:00,NIFTY,NFO,Futures,27-OCT-16,Others,0,8717,8718.6504,8714.0498,8716.0498,42225,18437400,13
2016-10-24 09:29:00,NIFTY,NFO,Futures,27-OCT-16,Others,0,8717,8718.0498,8714.0498,8718.0498,29475,18437400,14
2016-10-24 09:30:00,NIFTY,NFO,Futures,27-OCT-16,Others,0,8718.1504,8718.1504,8701.5498,8704.7998,165375,18437400,15
2016-10-24 09:31:00,NIFTY,NFO,Futures,27-OCT-16,Others,0,8705,8705.0498,8701.0498,8705.0498,91425,18521250,16
2016-10-24 09:32:00,NIFTY,NFO,Futures,27-OCT-16,Others,0,8705.0498,8706.4502,8703.0996,8706.25,41700,18521250,17
2016-10-24 09:33:00,NIFTY,NFO,Futures,27-OCT-16,Others,0,8706.25,8706.7998,8696.0996,8698.9502,71100,18521250,18
2016-10-24 09:34:00,NIFTY,NFO,Futures,27-OCT-16,Others,0,8698.9502,8698.9502,8690.0996,8694.9502,73200,18555976,19
2016-10-24 09:35:00,NIFTY,NFO,Futures,27-OCT-16,Others,0,8694.25,8699,8694.25,8699,29025,18555976,20
2016-10-24 09:36:00,NIFTY,NFO,Futures,27-OCT-16,Others,0,8699,8704.9004,8698.9502,8703.0996,48975,18555976,21
2016-10-24 09:37:00,NIFTY,NFO,Futures,27-OCT-16,Others,0,8703.0996,8705,8701.5,8705,23025,18564224,22
2016-10-24 09:38:00,NIFTY,NFO,Futures,27-OCT-16,Others,0,8703.7002,8708,8703.0498,8706.9004,27900,18564224,23
2016-10-24 09:39:00,NIFTY,NFO,Futures,27-OCT-16,Others,0,8707,8707.4004,8704.4502,8706,13950,18564224,24
2016-10-24 09:40:00,NIFTY,NFO,Futures,27-OCT-16,Others,0,8706,8707,8704,8704.4004,15075,18583500,25
2016-10-24 09:41:00,NIFTY,NFO,Futures,27-OCT-16,Others,0,8704.4004,8707.4004,8704,8707.4004,14475,18583500,26
2016-10-24 09:42:00,NIFTY,NFO,Futures,27-OCT-16,Others,0,8706.1504,8707.9004,8702.9502,8702.9502,15225,18583500,27
2016-10-24 09:43:00,NIFTY,NFO,Futures,27-OCT-16,Others,0,8702.25,8704.5498,8700.9502,8703.5,21975,18605250,28
2016-10-24 09:44:00,NIFTY,NFO,Futures,27-OCT-16,Others,0,8702.5498,8704,8699.0996,8699.9502,15450,18605250,29
2016-10-24 09:45:00,NIFTY,NFO,Futures,27-OCT-16,Others,0,8699.9502,8702.9004,8698.9502,8702.9004,17175,18605250,30
2016-10-24 09:46:00,NIFTY,NFO,Futures,27-OCT-16,Others,0,8702.8496,8703,8701.0498,8703,3975,18617476,31
2016-10-24 09:47:00,NIFTY,NFO,Futures,27-OCT-16,Others,0,8703.5,8704,8702.1504,8703,11550,18617476,32
2016-10-24 09:48:00,NIFTY,NFO,Futures,27-OCT-16,Others,0,8701.2002,8702.9004,8700.6504,8701.5,4725,18617476,33
2016-10-24 09:49:00,NIFTY,NFO,Futures,27-OCT-16,Others,0,8701.0996,8703.2998,8701,8702.9502,13725,18523576,34
2016-10-24 09:50:00,NIFTY,NFO,Futures,27-OCT-16,Others,0,8702.8496,8703.9004,8701.5498,8703.2998,7650,18523576,35
2016-10-24 09:51:00,NIFTY,NFO,Futures,27-OCT-16,Others,0,8703.9004,8705,8703,8703,10125,18523576,36
2016-10-24 09:52:00,NIFTY,NFO,Futures,27-OCT-16,Others,0,8703,8703,8700.4004,8701.1504,8175,18523200,37
2016-10-24 09:53:00,NIFTY,NFO,Futures,27-OCT-16,Others,0,8702.4004,8702.4004,8697,8697,22050,18523200,38
2016-10-24 09:54:00,NIFTY,NFO,Futures,27-OCT-16,Others,0,8697.4004,8698.0498,8696.2998,8696.6504,15675,18523200,39
2016-10-24 09:55:00,NIFTY,NFO,Futures,27-OCT-16,Others,0,8696.75,8698.8496,8696.0498,8698.4004,14400,18529424,40
2016-10-24 09:56:00,NIFTY,NFO,Futures,27-OCT-16,Others,0,8697.5,8700.9004,8697.4004,8699.2002,13350,18529424,41
2016-10-24 09:57:00,NIFTY,NFO,Futures,27-OCT-16,Others,0,8699.2002,8701.9004,8699.0498,8701.9004,9900,18529424,42
2016-10-24 09:58:00,NIFTY,NFO,Futures,27-OCT-16,Others,0,8702,8704.7002,8701.7002,8704.0498,23100,18536776,43
2016-10-24 09:59:00,NIFTY,NFO,Futures,27-OCT-16,Others,0,8704,8704.5996,8702,8702.9004,7500,18536776,44
2016-10-24 10:00:00,NIFTY,NFO,Futures,27-OCT-16,Others,0,8702.9004,8702.9004,8701.25,8702.75,6075,18536776,45
2016-10-24 10:01:00,NIFTY,NFO,Futures,27-OCT-16,Others,0,8702.5498,8703.9004,8702.5,8703,5175,18529724,46
2016-10-24 10:02:00,NIFTY,NFO,Futures,27-OCT-16,Others,0,8703,8705.5996,8702.3496,8705.5996,10800,18529724,47
2016-10-24 10:03:00,NIFTY,NFO,Futures,27-OCT-16,Others,0,8705.5996,8706.5,8705,8706.5,8700,18529724,48
2016-10-24 10:04:00,NIFTY,NFO,Futures,27-OCT-16,Others,0,8706.5,8706.8496,8703.5498,8705.3496,7125,18527176,49
2016-10-24 10:05:00,NIFTY,NFO,Futures,27-OCT-16,Others,0,8705.3496,8706.5996,8704.8496,8706,18600,18527176,50
2016-10-24 10:06:00,NIFTY,NFO,Futures,27-OCT-16,Others,0,8705.9004,8706,8703.0498,8703.8496,19575,18527176,51
2016-10-24 10:07:00,NIFTY,NFO,Futures,27-OCT-16,Others,0,8703.25,8705.9004,8703,8705.75,5400,18524400,52
2016-10-24 10:08:00,NIFTY,NFO,Futures,27-OCT-16,Others,0,8705.9502,8707,8704.6504,8706,10425,18524400,53
2016-10-24 10:09:00,NIFTY,NFO,Futures,27-OCT-16,Others,0,8706.0498,8706.25,8703.1504,8704.25,9375,18524400,54
2016-10-24 10:10:00,NIFTY,NFO,Futures,27-OCT-16,Others,0,8704.1504,8705.1504,8701,8701.0498,7500,18524550,55
2016-10-24 10:11:00,NIFTY,NFO,Futures,27-OCT-16,Others,0,8702.2998,8703,8701,8702.1504,9975,18524550,56
2016-10-24 10:12:00,NIFTY,NFO,Futures,27-OCT-16,Others,0,8702.0498,8702.0498,8700.2002,8701.5498,7200,18524550,57
2016-10-24 10:13:00,NIFTY,NFO,Futures,27-OCT-16,Others,0,8701.5996,8702.25,8700.5996,8702.1504,13575,18521924,58
2016-10-24 10:14:00,NIFTY,NFO,Futures,27-OCT-16,Others,0,8702.1504,8703.9004,8701.1504,8703.9004,5475,18521924,59
2016-10-24 10:15:00,NIFTY,NFO,Futures,27-OCT-16,Others,0,8704.2002,8704.25,8702.3496,8704.1504,7125,18521924,60
2016-10-24 10:16:00,NIFTY,NFO,Futures,27-OCT-16,Others,0,8704.0498,8706.9004,8704.0498,8706.2998,10950,18523724,61
2016-10-24 10:17:00,NIFTY,NFO,Futures,27-OCT-16,Others,0,8706.3496,8708.4004,8705.9502,8707.8496,19125,18523724,62
2016-10-24 10:18:00,NIFTY,NFO,Futures,27-OCT-16,Others,0,8707.6504,8707.6504,8704.8496,8705,9600,18523724,63
2016-10-24 10:19:00,NIFTY,NFO,Futures,27-OCT-16,Others,0,8704.1504,8707,8704.0996,8705,6525,18526500,64
2016-10-24 10:20:00,NIFTY,NFO,Futures,27-OCT-16,Others,0,8704.25,8705,8701.4502,8701.7002,11025,18526500,65
2016-10-24 10:21:00,NIFTY,NFO,Futures,27-OCT-16,Others,0,8703,8703,8701.2002,8701.25,3075,18526500,66
2016-10-24 10:22:00,NIFTY,NFO,Futures,27-OCT-16,Others,0,8701.2998,8702.9502,8700.5996,8702.7998,18450,18523724,67
2016-10-24 10:23:00,NIFTY,NFO,Futures,27-OCT-16,Others,0,8702.8496,8703.3496,8700.5996,8702.75,7875,18523724,68
