datetime,stock_code,exchange_code,product_type,expiry_date,right,strike_price,open,high,low,close,volume,open_interest,count
2025-01-24 09:15:00,NIFTY,NFO,Futures,30-JAN-25,Others,0,23275.1,23285.5,23267.25,23277.1,94300,13655500,0
2025-01-24 09:16:00,NIFTY,NFO,Futures,30-JAN-25,Others,0,23274.65,23300,23274.65,23293.6,75600,13655500,1
2025-01-24 09:17:00,NIFTY,NFO,Futures,30-JAN-25,Others,0,23300.65,23300.65,23287.25,23295,44300,13655500,2
2025-01-24 09:18:00,NIFTY,NFO,Futures,30-JAN-25,Others,0,23294.7,23300,23288.4,23296.15,47550,13627950,3
2025-01-24 09:19:00,NIFTY,NFO,Futures,30-JAN-25,Others,0,23296.15,23296.6,23288.05,23295,30025,13627950,4
2025-01-24 09:20:00,NIFTY,NFO,Futures,30-JAN-25,Others,0,23290.05,23301.4,23290.05,23293,34500,13627950,5
2025-01-24 09:21:00,NIFTY,NFO,Futures,30-JAN-25,Others,0,23292.95,23303.2,23292.05,23296.6,29125,13603050,6
2025-01-24 09:22:00,NIFTY,NFO,Futures,30-JAN-25,Others,0,23297.75,23308.75,23293.05,23306.5,37875,13603050,7
2025-01-24 09:23:00,NIFTY,NFO,Futures,30-JAN-25,Others,0,23306.2,23306.3,23289.95,23299.25,23275,13603050,8
2025-01-24 09:24:00,NIFTY,NFO,Futures,30-JAN-25,Others,0,23299.35,23299.85,23292.15,23293.6,19600,13577625,9
2025-01-24 09:25:00,NIFTY,NFO,Futures,30-JAN-25,Others,0,23291.9,23297.45,23281.05,23296,21600,13577625,10
2025-01-24 09:26:00,NIFTY,NFO,Futures,30-JAN-25,Others,0,23293.2,23297.35,23275.55,23275.55,23950,13577625,11
2025-01-24 09:27:00,NIFTY,NFO,Futures,30-JAN-25,Others,0,23275.95,23279.65,23267.9,23271.45,21975,13566175,12
2025-01-24 09:28:00,NIFTY,NFO,Futures,30-JAN-25,Others,0,23272.85,23290,23272.85,23280.15,11425,13566175,13
2025-01-24 09:29:00,NIFTY,NFO,Futures,30-JAN-25,Others,0,23278.6,23278.6,23262,23265.4,21050,13566175,14
2025-01-24 09:30:00,NIFTY,NFO,Futures,30-JAN-25,Others,0,23262.3,23272.05,23258.85,23258.85,14725,13561425,15
2025-01-24 09:31:00,NIFTY,NFO,Futures,30-JAN-25,Others,0,23263.8,23263.8,23249.4,23249.4,34400,13561425,16
2025-01-24 09:32:00,NIFTY,NFO,Futures,30-JAN-25,Others,0,23250.35,23257.25,23243.4,23248,34725,13561425,17
2025-01-24 09:33:00,NIFTY,NFO,Futures,30-JAN-25,Others,0,23247,23255.95,23240.7,23247,27725,13557375,18
2025-01-24 09:34:00,NIFTY,NFO,Futures,30-JAN-25,Others,0,23250,23250,23245,23250,9150,13557375,19
2025-01-24 09:35:00,NIFTY,NFO,Futures,30-JAN-25,Others,0,23250,23256.75,23245.8,23255.15,13975,13557375,20
2025-01-24 09:36:00,NIFTY,NFO,Futures,30-JAN-25,Others,0,23252.55,23259.65,23242,23253.35,7875,13547400,21
2025-01-24 09:37:00,NIFTY,NFO,Futures,30-JAN-25,Others,0,23250,23251.3,23237,23245.1,16500,13547400,22
2025-01-24 09:38:00,NIFTY,NFO,Futures,30-JAN-25,Others,0,23241.85,23243.2,23219.55,23221,54325,13547400,23
2025-01-24 09:39:00,NIFTY,NFO,Futures,30-JAN-25,Others,0,23220.65,23224.85,23216.95,23220.1,27900,13532350,24
2025-01-24 09:40:00,NIFTY,NFO,Futures,30-JAN-25,Others,0,23217.6,23233,23214.3,23231.8,16525,13532350,25
2025-01-24 09:41:00,NIFTY,NFO,Futures,30-JAN-25,Others,0,23230,23237.75,23219.4,23220.9,17250,13532350,26
2025-01-24 09:42:00,NIFTY,NFO,Futures,30-JAN-25,Others,0,23222,23232.3,23222,23229.4,9350,13528925,27
2025-01-24 09:43:00,NIFTY,NFO,Futures,30-JAN-25,Others,0,23230,23243.7,23230,23242,7850,13528925,28
2025-01-24 09:44:00,NIFTY,NFO,Futures,30-JAN-25,Others,0,23242,23243.25,23235,23243.2,12825,13528925,29
2025-01-24 09:45:00,NIFTY,NFO,Futures,30-JAN-25,Others,0,23242.05,23260,23235.65,23258.65,19575,13521050,30
2025-01-24 09:46:00,NIFTY,NFO,Futures,30-JAN-25,Others,0,23255.05,23263.4,23240.3,23240.35,12200,13521050,31
2025-01-24 09:47:00,NIFTY,NFO,Futures,30-JAN-25,Others,0,23241.85,23252.1,23235,23243.35,11350,13521050,32
2025-01-24 09:48:00,NIFTY,NFO,Futures,30-JAN-25,Others,0,23243.55,23243.55,23226,23226,18025,13511125,33
2025-01-24 09:49:00,NIFTY,NFO,Futures,30-JAN-25,Others,0,23229.95,23230,23187,23187,79000,13511125,34
2025-01-24 09:50:00,NIFTY,NFO,Futures,30-JAN-25,Others,0,23187.05,23194.05,23182.05,23182.05,34725,13511125,35
2025-01-24 09:51:00,NIFTY,NFO,Futures,30-JAN-25,Others,0,23182.75,23182.75,23168.05,23169.8,54425,13497400,36
2025-01-24 09:52:00,NIFTY,NFO,Futures,30-JAN-25,Others,0,23171.7,23173.5,23166,23170,23975,13497400,37
2025-01-24 09:53:00,NIFTY,NFO,Futures,30-JAN-25,Others,0,23167.1,23176,23160.05,23160.45,44275,13497400,38
2025-01-24 09:54:00,NIFTY,NFO,Futures,30-JAN-25,Others,0,23162.45,23173.45,23162.3,23164.9,20250,13489900,39
2025-01-24 09:55:00,NIFTY,NFO,Futures,30-JAN-25,Others,0,23164.85,23178.95,23157.45,23170.95,26150,13489900,40
2025-01-24 09:56:00,NIFTY,NFO,Futures,30-JAN-25,Others,0,23175,23186.65,23175,23181.75,13650,13489900,41
2025-01-24 09:57:00,NIFTY,NFO,Futures,30-JAN-25,Others,0,23181.8,23181.8,23170,23170,6600,13506900,42
2025-01-24 09:58:00,NIFTY,NFO,Futures,30-JAN-25,Others,0,23170,23173.4,23160.35,23168,14775,13506900,43
2025-01-24 09:59:00,NIFTY,NFO,Futures,30-JAN-25,Others,0,23170.3,23171.75,23155.25,23155.65,35875,13506900,44
2025-01-24 10:00:00,NIFTY,NFO,Futures,30-JAN-25,Others,0,23159.35,23159.35,23139.05,23149.95,89425,13531625,45
2025-01-24 10:01:00,NIFTY,NFO,Futures,30-JAN-25,Others,0,23151.4,23171.7,23151.4,23162,22700,13531625,46
2025-01-24 10:02:00,NIFTY,NFO,Futures,30-JAN-25,Others,0,23162,23164.9,23157.95,23159.25,8475,13531625,47
2025-01-24 10:03:00,NIFTY,NFO,Futures,30-JAN-25,Others,0,23158,23163.9,23154.05,23161.9,8150,13546475,48
2025-01-24 10:04:00,NIFTY,NFO,Futures,30-JAN-25,Others,0,23161.9,23167,23150,23158.95,14775,13546475,49
2025-01-24 10:05:00,NIFTY,NFO,Futures,30-JAN-25,Others,0,23162.4,23169.55,23160.25,23164,18750,13546475,50
2025-01-24 10:06:00,NIFTY,NFO,Futures,30-JAN-25,Others,0,23161,23163.65,23151.05,23154.95,15900,13546475,51
2025-01-24 10:07:00,NIFTY,NFO,Futures,30-JAN-25,Others,0,23160,23174,23157.05,23174,18525,13566725,52
2025-01-24 10:08:00,NIFTY,NFO,Futures,30-JAN-25,Others,0,23171.2,23184.8,23166.5,23178,28875,13566725,53
2025-01-24 10:09:00,NIFTY,NFO,Futures,30-JAN-25,Others,0,23170.75,23173.9,23157.05,23165.4,12150,13577175,54
2025-01-24 10:10:00,NIFTY,NFO,Futures,30-JAN-25,Others,0,23171.95,23191.65,23169,23175.05,18725,13577175,55
2025-01-24 10:11:00,NIFTY,NFO,Futures,30-JAN-25,Others,0,23172.95,23197.8,23172.95,23187,17550,13577175,56
2025-01-24 10:12:00,NIFTY,NFO,Futures,30-JAN-25,Others,0,23186,23190,23175.5,23180,11300,13586150,57
2025-01-24 10:13:00,NIFTY,NFO,Futures,30-JAN-25,Others,0,23175,23185,23175,23178.2,6050,13586150,58
2025-01-24 10:14:00,NIFTY,NFO,Futures,30-JAN-25,Others,0,23172,23184,23171,23181.45,5600,13586150,59
