datetime,stock_code,exchange_code,product_type,expiry_date,right,strike_price,open,high,low,close,volume,open_interest,count
2024-06-25 09:15:00,NIFTY,NFO,Futures,27-JUN-24,Others,0,23585.8,23585.8,23566.05,23567.25,50500,10209675,0
2024-06-25 09:16:00,NIFTY,NFO,Futures,27-JUN-24,Others,0,23567.45,23571.9,23565,23569.4,31000,10209675,1
2024-06-25 09:17:00,NIFTY,NFO,Futures,27-JUN-24,Others,0,23568.2,23585,23568.2,23585,24575,10209675,2
2024-06-25 09:18:00,NIFTY,NFO,Futures,27-JUN-24,Others,0,23584.95,23587.6,23580,23581.75,27400,10205075,3
2024-06-25 09:19:00,NIFTY,NFO,Futures,27-JUN-24,Others,0,23584.2,23588,23581.55,23585,17975,10205075,4
2024-06-25 09:20:00,NIFTY,NFO,Futures,27-JUN-24,Others,0,23587.15,23589.9,23578.45,23581.35,35425,10205075,5
2024-06-25 09:21:00,NIFTY,NFO,Futures,27-JUN-24,Others,0,23581.35,23590.95,23578.2,23589.4,22925,10189375,6
2024-06-25 09:22:00,NIFTY,NFO,Futures,27-JUN-24,Others,0,23588.65,23592.2,23586.15,23586.45,25600,10189375,7
2024-06-25 09:23:00,NIFTY,NFO,Futures,27-JUN-24,Others,0,23590,23595,23588.25,23588.25,9600,10189375,8
2024-06-25 09:24:00,NIFTY,NFO,Futures,27-JUN-24,Others,0,23588.3,23592.5,23586,23588,12950,10203500,9
2024-06-25 09:25:00,NIFTY,NFO,Futures,27-JUN-24,Others,0,23585,23585,23572.3,23576.3,15150,10203500,10
2024-06-25 09:26:00,NIFTY,NFO,Futures,27-JUN-24,Others,0,23580,23587.5,23577,23579.95,16275,10203500,11
2024-06-25 09:27:00,NIFTY,NFO,Futures,27-JUN-24,Others,0,23576.35,23586.5,23575.8,23581.55,12825,10213475,12
2024-06-25 09:28:00,NIFTY,NFO,Futures,27-JUN-24,Others,0,23579.35,23583.7,23575.45,23576.4,9050,10213475,13
2024-06-25 09:29:00,NIFTY,NFO,Futures,27-JUN-24,Others,0,23576,23579.5,23571.05,23577.2,8650,10213475,14
2024-06-25 09:30:00,NIFTY,NFO,Futures,27-JUN-24,Others,0,23579.5,23586,23575,23579.35,32000,10213775,15
2024-06-25 09:31:00,NIFTY,NFO,Futures,27-JUN-24,Others,0,23577.6,23584.55,23576.45,23580,28800,10213775,16
2024-06-25 09:32:00,NIFTY,NFO,Futures,27-JUN-24,Others,0,23581.35,23590,23580.05,23590,28375,10213775,17
2024-06-25 09:33:00,NIFTY,NFO,Futures,27-JUN-24,Others,0,23589.95,23593,23588.25,23591.85,13950,10240075,18
2024-06-25 09:34:00,NIFTY,NFO,Futures,27-JUN-24,Others,0,23591.75,23592.3,23580,23580,16300,10240075,19
2024-06-25 09:35:00,NIFTY,NFO,Futures,27-JUN-24,Others,0,23580.95,23585.05,23579.15,23580.05,15300,10240075,20
2024-06-25 09:36:00,NIFTY,NFO,Futures,27-JUN-24,Others,0,23580.05,23582.9,23573.2,23578.6,22850,10238850,21
2024-06-25 09:37:00,NIFTY,NFO,Futures,27-JUN-24,Others,0,23576.35,23578.45,23573.3,23575,8175,10238850,22
2024-06-25 09:38:00,NIFTY,NFO,Futures,27-JUN-24,Others,0,23575.2,23585.05,23575,23580,15275,10238850,23
2024-06-25 09:39:00,NIFTY,NFO,Futures,27-JUN-24,Others,0,23578.8,23585,23570,23575.75,16125,10229475,24
2024-06-25 09:40:00,NIFTY,NFO,Futures,27-JUN-24,Others,0,23571,23577.65,23570.05,23572.4,16300,10229475,25
2024-06-25 09:41:00,NIFTY,NFO,Futures,27-JUN-24,Others,0,23570.05,23581.95,23570.05,23577.9,11100,10229475,26
2024-06-25 09:42:00,NIFTY,NFO,Futures,27-JUN-24,Others,0,23580.9,23584.8,23576.05,23582.85,5350,10220625,27
2024-06-25 09:43:00,NIFTY,NFO,Futures,27-JUN-24,Others,0,23582.15,23589,23582.15,23588.95,13050,10220625,28
2024-06-25 09:44:00,NIFTY,NFO,Futures,27-JUN-24,Others,0,23588.15,23594,23581.9,23594,18025,10220625,29
2024-06-25 09:45:00,NIFTY,NFO,Futures,27-JUN-24,Others,0,23595.85,23597.4,23590,23594.3,40525,10219275,30
2024-06-25 09:46:00,NIFTY,NFO,Futures,27-JUN-24,Others,0,23594.3,23595.7,23589,23595.7,17175,10219275,31
2024-06-25 09:47:00,NIFTY,NFO,Futures,27-JUN-24,Others,0,23599,23613.95,23593.9,23610.55,51425,10219275,32
2024-06-25 09:48:00,NIFTY,NFO,Futures,27-JUN-24,Others,0,23615.3,23615.3,23610.25,23614.8,35200,10203175,33
2024-06-25 09:49:00,NIFTY,NFO,Futures,27-JUN-24,Others,0,23614.3,23621,23612.4,23621,36675,10203175,34
2024-06-25 09:50:00,NIFTY,NFO,Futures,27-JUN-24,Others,0,23620.5,23621.75,23612.6,23615.95,52625,10203175,35
2024-06-25 09:51:00,NIFTY,NFO,Futures,27-JUN-24,Others,0,23614,23614.1,23606.25,23608.25,18375,10190275,36
2024-06-25 09:52:00,NIFTY,NFO,Futures,27-JUN-24,Others,0,23607.3,23611.95,23604,23604,16975,10190275,37
2024-06-25 09:53:00,NIFTY,NFO,Futures,27-JUN-24,Others,0,23603.65,23605.75,23598.2,23598.2,25800,10190275,38
2024-06-25 09:54:00,NIFTY,NFO,Futures,27-JUN-24,Others,0,23598.55,23601.95,23590.9,23594.9,16025,10187600,39
2024-06-25 09:55:00,NIFTY,NFO,Futures,27-JUN-24,Others,0,23594.95,23596.95,23588.75,23592.45,12325,10187600,40
2024-06-25 09:56:00,NIFTY,NFO,Futures,27-JUN-24,Others,0,23590.7,23597,23589,23593.95,7925,10187600,41
2024-06-25 09:57:00,NIFTY,NFO,Futures,27-JUN-24,Others,0,23594.6,23603.9,23594.6,23602.9,19175,10183300,42
2024-06-25 09:58:00,NIFTY,NFO,Futures,27-JUN-24,Others,0,23602.9,23606.7,23591.75,23593.6,23825,10183300,43
2024-06-25 09:59:00,NIFTY,NFO,Futures,27-JUN-24,Others,0,23593.8,23594.9,23584.5,23585.3,14350,10183300,44
2024-06-25 10:00:00,NIFTY,NFO,Futures,27-JUN-24,Others,0,23587.45,23591.55,23586.25,23590.05,11825,10177025,45
2024-06-25 10:01:00,NIFTY,NFO,Futures,27-JUN-24,Others,0,23589,23594,23577.05,23577.05,17450,10177025,46
2024-06-25 10:02:00,NIFTY,NFO,Futures,27-JUN-24,Others,0,23577,23581.4,23575,23577.65,16650,10177025,47
