datetime,stock_code,exchange_code,product_type,expiry_date,right,strike_price,open,high,low,close,volume,open_interest,count
2026-01-19 09:07:00,NIFTY,NFO,Futures,27-JAN-26,Others,0,25626,25626,25626,25626,0,16567915,0
2026-01-19 09:07:00,NIFTY,NFO,Futures,27-JAN-26,Others,0,25626,25626,25626,25626,0,16567915,1
2026-01-19 09:15:00,NIFTY,NFO,Futures,27-JAN-26,Others,0,25663.3,25663.3,25595,25596.9,199095,16566160,2
2026-01-19 09:15:00,NIFTY,NFO,Futures,27-JAN-26,Others,0,25663.3,25663.3,25595,25596.9,199095,16566160,3
2026-01-19 09:16:00,NIFTY,NFO,Futures,27-JAN-26,Others,0,25590.4,25615,25588,25609.2,90740,16646760,4
2026-01-19 09:16:00,NIFTY,NFO,Futures,27-JAN-26,Others,0,25590.4,25615,25588,25609.2,90740,16646760,5
2026-01-19 09:17:00,NIFTY,NFO,Futures,27-JAN-26,Others,0,25613.8,25624.3,25606.8,25618.9,55900,16646760,6
2026-01-19 09:17:00,NIFTY,NFO,Futures,27-JAN-26,Others,0,25613.8,25624.3,25606.8,25618.9,55900,16646760,7
2026-01-19 09:18:00,NIFTY,NFO,Futures,27-JAN-26,Others,0,25620.3,25622,25615.1,25619.8,33800,16646760,8
2026-01-19 09:18:00,NIFTY,NFO,Futures,27-JAN-26,Others,0,25620.3,25622,25615.1,25619.8,33800,16646760,9
2026-01-19 09:19:00,NIFTY,NFO,Futures,27-JAN-26,Others,0,25620,25625,25617.8,25622.4,27755,16655665,10
2026-01-19 09:19:00,NIFTY,NFO,Futures,27-JAN-26,Others,0,25620,25625,25617.8,25622.4,27755,16655665,11
2026-01-19 09:20:00,NIFTY,NFO,Futures,27-JAN-26,Others,0,25607.3,25620,25598.6,25620,68510,16655665,12
2026-01-19 09:20:00,NIFTY,NFO,Futures,27-JAN-26,Others,0,25607.3,25620,25598.6,25620,68510,16655665,13
2026-01-19 09:21:00,NIFTY,NFO,Futures,27-JAN-26,Others,0,25615,25620.1,25604.3,25608.5,40105,16655665,14
2026-01-19 09:21:00,NIFTY,NFO,Futures,27-JAN-26,Others,0,25615,25620.1,25604.3,25608.5,40105,16655665,15
2026-01-19 09:22:00,NIFTY,NFO,Futures,27-JAN-26,Others,0,25609.4,25611.6,25601,25608.6,35295,16718975,16
2026-01-19 09:22:00,NIFTY,NFO,Futures,27-JAN-26,Others,0,25609.4,25611.6,25601,25608.6,35295,16718975,17
2026-01-19 09:23:00,NIFTY,NFO,Futures,27-JAN-26,Others,0,25608.7,25613.5,25604.4,25612,28015,16718975,18
2026-01-19 09:23:00,NIFTY,NFO,Futures,27-JAN-26,Others,0,25608.7,25613.5,25604.4,25612,28015,16718975,19
2026-01-19 09:24:00,NIFTY,NFO,Futures,27-JAN-26,Others,0,25613.3,25614.9,25601.6,25603,24635,16718975,20
2026-01-19 09:24:00,NIFTY,NFO,Futures,27-JAN-26,Others,0,25613.3,25614.9,25601.6,25603,24635,16718975,21
2026-01-19 09:25:00,NIFTY,NFO,Futures,27-JAN-26,Others,0,25603.5,25603.5,25595.8,25598.7,17225,16736395,22
2026-01-19 09:25:00,NIFTY,NFO,Futures,27-JAN-26,Others,0,25603.5,25603.5,25595.8,25598.7,17225,16736395,23
2026-01-19 09:26:00,NIFTY,NFO,Futures,27-JAN-26,Others,0,25599.9,25610,25597,25602.7,24440,16736395,24
2026-01-19 09:26:00,NIFTY,NFO,Futures,27-JAN-26,Others,0,25599.9,25610,25597,25602.7,24440,16736395,25
2026-01-19 09:27:00,NIFTY,NFO,Futures,27-JAN-26,Others,0,25600.3,25608.4,25599.9,25603.4,10075,16736395,26
2026-01-19 09:27:00,NIFTY,NFO,Futures,27-JAN-26,Others,0,25600.3,25608.4,25599.9,25603.4,10075,16736395,27
2026-01-19 09:28:00,NIFTY,NFO,Futures,27-JAN-26,Others,0,25600.3,25606.8,25600,25602.4,42900,16747185,28
2026-01-19 09:28:00,NIFTY,NFO,Futures,27-JAN-26,Others,0,25600.3,25606.8,25600,25602.4,42900,16747185,29
2026-01-19 09:29:00,NIFTY,NFO,Futures,27-JAN-26,Others,0,25601.1,25604,25593,25594,11245,16747185,30
2026-01-19 09:29:00,NIFTY,NFO,Futures,27-JAN-26,Others,0,25601.1,25604,25593,25594,11245,16747185,31
2026-01-19 09:30:00,NIFTY,NFO,Futures,27-JAN-26,Others,0,25591.1,25595,25579.9,25582.6,56355,16747185,32
2026-01-19 09:30:00,NIFTY,NFO,Futures,27-JAN-26,Others,0,25591.1,25595,25579.9,25582.6,56355,16747185,33
2026-01-19 09:31:00,NIFTY,NFO,Futures,27-JAN-26,Others,0,25582.6,25585.6,25571.3,25578.4,72475,16800290,34
2026-01-19 09:31:00,NIFTY,NFO,Futures,27-JAN-26,Others,0,25582.6,25585.6,25571.3,25578.4,72475,16800290,35
2026-01-19 09:32:00,NIFTY,NFO,Futures,27-JAN-26,Others,0,25580,25604.4,25578.6,25600,43875,16800290,36
2026-01-19 09:32:00,NIFTY,NFO,Futures,27-JAN-26,Others,0,25580,25604.4,25578.6,25600,43875,16800290,37
2026-01-19 09:33:00,NIFTY,NFO,Futures,27-JAN-26,Others,0,25600,25610,25597.9,25597.9,19565,16800290,38
