open,high,low,close,volume,open_interest,datetime
25260.0,25294.9,25244.8,25268.4,124995,11745305,2026-01-27 09:15:00
25267.9,25274.6,25200.2,25211.1,41015,11788595,2026-01-27 09:16:00
25205.0,25213.7,25164.1,25175.8,54405,11788595,2026-01-27 09:17:00
25175.5,25222.1,25172.3,25193.3,60905,11788595,2026-01-27 09:18:00
25193.2,25201.9,25168.0,25172.7,63310,11845340,2026-01-27 09:19:00
25168.3,25172.2,25125.0,25148.9,97565,11845340,2026-01-27 09:20:00
25147.4,25150.0,25101.8,25105.2,67795,11845340,2026-01-27 09:21:00
25105.2,25148.4,25105.0,25126.0,48815,11991655,2026-01-27 09:22:00
25120.0,25145.0,25112.2,25124.0,93535,11991655,2026-01-27 09:23:00
25121.0,25121.2,25105.2,25110.0,72020,11991655,2026-01-27 09:24:00
25110.0,25116.1,25100.0,25101.8,72085,12142000,2026-01-27 09:25:00
25101.0,25119.7,25100.0,25116.0,51480,12142000,2026-01-27 09:26:00
25108.9,25135.3,25103.0,25126.3,27300,12142000,2026-01-27 09:27:00
25126.2,25132.8,25112.0,25124.7,50310,12236705,2026-01-27 09:28:00
25116.7,25126.8,25109.2,25119.6,27885,12236705,2026-01-27 09:29:00
25122.5,25138.8,25105.9,25109.6,78910,12236705,2026-01-27 09:30:00
25105.0,25138.5,25102.0,25131.5,31980,12347985,2026-01-27 09:31:00
25126.2,25139.0,25116.1,25125.0,35230,12347985,2026-01-27 09:32:00
25120.0,25155.0,25110.1,25149.0,26780,12347985,2026-01-27 09:33:00
25148.7,25165.0,25138.9,25154.1,40560,12390235,2026-01-27 09:34:00
25154.0,25183.6,25138.0,25180.0,37245,12390235,2026-01-27 09:35:00
25181.1,25185.0,25162.8,25174.3,30225,12390235,2026-01-27 09:36:00
25173.1,25204.6,25172.2,25197.5,30030,12422540,2026-01-27 09:37:00
25200.0,25242.7,25191.2,25242.7,77025,12422540,2026-01-27 09:38:00
25241.8,25255.8,25228.1,25250.1,47450,12422540,2026-01-27 09:39:00
25247.9,25253.2,25229.9,25247.1,29900,12419940,2026-01-27 09:40:00
25248.0,25253.0,25227.5,25230.0,25870,12419940,2026-01-27 09:41:00
25229.7,25260.0,25222.0,25247.3,35035,12419940,2026-01-27 09:42:00
25243.2,25309.0,25241.0,25300.0,133705,12457835,2026-01-27 09:43:00
25295.8,25311.0,25291.1,25311.0,102960,12457835,2026-01-27 09:44:00
25311.1,25314.5,25293.6,25298.7,39845,12457835,2026-01-27 09:45:00
25299.2,25309.0,25282.0,25282.2,32175,12467130,2026-01-27 09:46:00
25282.2,25320.0,25281.4,25320.0,42575,12467130,2026-01-27 09:47:00
25316.8,25324.1,25303.4,25313.5,35360,12467130,2026-01-27 09:48:00
25313.5,25318.1,25297.3,25310.5,21060,12498460,2026-01-27 09:49:00
25313.0,25315.0,25300.0,25302.9,17875,12498460,2026-01-27 09:50:00
