datetime,stock_code,exchange_code,product_type,expiry_date,right,strike_price,open,high,low,close,volume,open_interest,count
2017-12-20 09:15:00,NIFTY,NFO,Futures,28-DEC-17,Others,0,10472,10484,10456.2998,10457.2002,164478,19551900,0
2017-12-20 09:16:00,NIFTY,NFO,Futures,28-DEC-17,Others,0,10456,10458.0996,10449.4502,10458.0996,106725,19551900,1
2017-12-20 09:17:00,NIFTY,NFO,Futures,28-DEC-17,Others,0,10457.9502,10458,10452,10453.3496,58650,19551900,2
2017-12-20 09:18:00,NIFTY,NFO,Futures,28-DEC-17,Others,0,10453.2998,10455.3496,10452.5996,10453.6504,70950,19676624,3
2017-12-20 09:19:00,NIFTY,NFO,Futures,28-DEC-17,Others,0,10453.5498,10462.7002,10453.0498,10460.9502,51300,19676624,4
2017-12-20 09:20:00,NIFTY,NFO,Futures,28-DEC-17,Others,0,10460.9004,10466.7002,10460.9004,10465.0498,58500,19676624,5
2017-12-20 09:21:00,NIFTY,NFO,Futures,28-DEC-17,Others,0,10464.9004,10464.9004,10462,10464,44550,19781024,6
2017-12-20 09:22:00,NIFTY,NFO,Futures,28-DEC-17,Others,0,10464.1504,10467.5,10463.9502,10467.5,37575,19781024,7
2017-12-20 09:23:00,NIFTY,NFO,Futures,28-DEC-17,Others,0,10467.7002,10467.7002,10462,10465.2002,54900,19781024,8
2017-12-20 09:24:00,NIFTY,NFO,Futures,28-DEC-17,Others,0,10466,10466,10462.5,10464.5498,40425,19843350,9
2017-12-20 09:25:00,NIFTY,NFO,Futures,28-DEC-17,Others,0,10465.9502,10466,10463.25,10465.75,28950,19843350,10
2017-12-20 09:26:00,NIFTY,NFO,Futures,28-DEC-17,Others,0,10465.5996,10467,10463.9004,10466.0498,23175,19843350,11
2017-12-20 09:27:00,NIFTY,NFO,Futures,28-DEC-17,Others,0,10466.5,10468.7998,10465.75,10468.7002,19650,19888050,12
2017-12-20 09:28:00,NIFTY,NFO,Futures,28-DEC-17,Others,0,10469,10472,10468.5996,10471.4502,40725,19888050,13
2017-12-20 09:29:00,NIFTY,NFO,Futures,28-DEC-17,Others,0,10471.4502,10478,10470.0996,10477,41775,19888050,14
2017-12-20 09:30:00,NIFTY,NFO,Futures,28-DEC-17,Others,0,10477.5498,10479.9004,10475.7002,10475.9004,44925,19906950,15
2017-12-20 09:31:00,NIFTY,NFO,Futures,28-DEC-17,Others,0,10475.5996,10483,10475.2998,10483,57525,19906950,16
2017-12-20 09:32:00,NIFTY,NFO,Futures,28-DEC-17,Others,0,10483.7998,10486.9004,10482,10482,51450,19906950,17
2017-12-20 09:33:00,NIFTY,NFO,Futures,28-DEC-17,Others,0,10482,10483.0498,10480.1504,10481.9502,26100,19940850,18
2017-12-20 09:34:00,NIFTY,NFO,Futures,28-DEC-17,Others,0,10481.0996,10483.2998,10480,10480,29175,19940850,19
2017-12-20 09:35:00,NIFTY,NFO,Futures,28-DEC-17,Others,0,10480.9502,10480.9502,10476.0498,10476.0498,27975,19940850,20
2017-12-20 09:36:00,NIFTY,NFO,Futures,28-DEC-17,Others,0,10475.9502,10475.9502,10473,10475,27375,19983676,21
2017-12-20 09:37:00,NIFTY,NFO,Futures,28-DEC-17,Others,0,10476.9502,10477.8496,10475,10477.7998,12000,19983676,22
2017-12-20 09:38:00,NIFTY,NFO,Futures,28-DEC-17,Others,0,10477.5498,10477.5498,10475.0498,10475.5,10725,19983676,23
2017-12-20 09:39:00,NIFTY,NFO,Futures,28-DEC-17,Others,0,10476.7002,10477.0996,10475.5,10476.2998,12525,19999124,24
2017-12-20 09:40:00,NIFTY,NFO,Futures,28-DEC-17,Others,0,10476.2998,10476.75,10468.4502,10468.5498,36075,19999124,25
2017-12-20 09:41:00,NIFTY,NFO,Futures,28-DEC-17,Others,0,10469.0996,10471.5,10469,10469,15750,19999124,26
2017-12-20 09:42:00,NIFTY,NFO,Futures,28-DEC-17,Others,0,10469.5498,10469.5498,10462.25,10463,38850,20032650,27
2017-12-20 09:43:00,NIFTY,NFO,Futures,28-DEC-17,Others,0,10462.1504,10467.8496,10461.8496,10465,21975,20032650,28
2017-12-20 09:44:00,NIFTY,NFO,Futures,28-DEC-17,Others,0,10464.9502,10466,10464.4502,10465.2002,16425,20032650,29
2017-12-20 09:45:00,NIFTY,NFO,Futures,28-DEC-17,Others,0,10465.4502,10465.4502,10461.2998,10461.2998,12375,20038276,30
2017-12-20 09:46:00,NIFTY,NFO,Futures,28-DEC-17,Others,0,10461,10461.9004,10458.5,10459,32925,20038276,31
2017-12-20 09:47:00,NIFTY,NFO,Futures,28-DEC-17,Others,0,10459.8496,10463.4502,10458.5,10463.4004,16725,20038276,32
2017-12-20 09:48:00,NIFTY,NFO,Futures,28-DEC-17,Others,0,10463.0498,10463.0498,10458.9502,10459.0996,10350,20050724,33
2017-12-20 09:49:00,NIFTY,NFO,Futures,28-DEC-17,Others,0,10458.75,10461.5,10458.75,10461.0498,18300,20050724,34
2017-12-20 09:50:00,NIFTY,NFO,Futures,28-DEC-17,Others,0,10461.4004,10461.4004,10454.1504,10455,33375,20050724,35
2017-12-20 09:51:00,NIFTY,NFO,Futures,28-DEC-17,Others,0,10455.9004,10457,10452.5996,10456,44850,20049900,36
2017-12-20 09:52:00,NIFTY,NFO,Futures,28-DEC-17,Others,0,10455,10457,10454.2998,10454.2998,32625,20049900,37
2017-12-20 09:53:00,NIFTY,NFO,Futures,28-DEC-17,Others,0,10454.4502,10454.4502,10450.4004,10450.4004,49950,20049900,38
2017-12-20 09:54:00,NIFTY,NFO,Futures,28-DEC-17,Others,0,10450,10454.1504,10447.6504,10453.4004,52200,20044200,39
2017-12-20 09:55:00,NIFTY,NFO,Futures,28-DEC-17,Others,0,10452.2998,10454,10449.9502,10454,27750,20044200,40
2017-12-20 09:56:00,NIFTY,NFO,Futures,28-DEC-17,Others,0,10453.7002,10459,10453.5498,10457.4502,31575,20044200,41
2017-12-20 09:57:00,NIFTY,NFO,Futures,28-DEC-17,Others,0,10457.5498,10459.75,10457.5498,10459.0498,18000,20064376,42
2017-12-20 09:58:00,NIFTY,NFO,Futures,28-DEC-17,Others,0,10459.25,10461.7998,10457.5,10457.7998,23250,20064376,43
2017-12-20 09:59:00,NIFTY,NFO,Futures,28-DEC-17,Others,0,10458.7998,10460.25,10456.25,10459.7998,15675,20064376,44
2017-12-20 10:00:00,NIFTY,NFO,Futures,28-DEC-17,Others,0,10459.7002,10459.7998,10456.9502,10456.9502,24000,20087476,45
2017-12-20 10:01:00,NIFTY,NFO,Futures,28-DEC-17,Others,0,10456.25,10458.9004,10456.25,10458.5,15525,20087476,46
2017-12-20 10:02:00,NIFTY,NFO,Futures,28-DEC-17,Others,0,10458.1504,10461.9004,10458.1504,10459.75,18600,20087476,47
2017-12-20 10:03:00,NIFTY,NFO,Futures,28-DEC-17,Others,0,10459.7998,10464.6504,10459.4502,10461.75,22200,20092500,48
2017-12-20 10:04:00,NIFTY,NFO,Futures,28-DEC-17,Others,0,10461.4502,10464.25,10461.4502,10464,23625,20092500,49
2017-12-20 10:05:00,NIFTY,NFO,Futures,28-DEC-17,Others,0,10463,10464,10461.4004,10461.5,7275,20092500,50
2017-12-20 10:06:00,NIFTY,NFO,Futures,28-DEC-17,Others,0,10461.5498,10464,10460.2002,10464,7425,20118750,51
2017-12-20 10:07:00,NIFTY,NFO,Futures,28-DEC-17,Others,0,10463.9004,10463.9004,10460.2002,10460.2002,7200,20118750,52
2017-12-20 10:08:00,NIFTY,NFO,Futures,28-DEC-17,Others,0,10461.2002,10461.5996,10460.2002,10460.4004,5175,20118750,53
2017-12-20 10:09:00,NIFTY,NFO,Futures,28-DEC-17,Others,0,10460.5996,10461.0498,10456.1504,10457.5498,9675,20127376,54
2017-12-20 10:10:00,NIFTY,NFO,Futures,28-DEC-17,Others,0,10457.7998,10459.9004,10457.7998,10458.5498,5100,20127376,55
2017-12-20 10:11:00,NIFTY,NFO,Futures,28-DEC-17,Others,0,10458.5498,10462,10458.5498,10460.5498,8325,20127376,56
2017-12-20 10:12:00,NIFTY,NFO,Futures,28-DEC-17,Others,0,10460.5,10464,10460.5,10463.4502,6900,20128576,57
2017-12-20 10:13:00,NIFTY,NFO,Futures,28-DEC-17,Others,0,10463.4502,10464.7998,10463,10464.7998,3825,20128576,58
2017-12-20 10:14:00,NIFTY,NFO,Futures,28-DEC-17,Others,0,10464.25,10464.7998,10463,10463,6675,20128576,59
2017-12-20 10:15:00,NIFTY,NFO,Futures,28-DEC-17,Others,0,10463.9502,10464,10461.7002,10462.5498,10125,20135324,60
2017-12-20 10:16:00,NIFTY,NFO,Futures,28-DEC-17,Others,0,10463.5,10468,10463.5,10466.0996,19125,20135324,61
2017-12-20 10:17:00,NIFTY,NFO,Futures,28-DEC-17,Others,0,10467,10468,10465,10466.4502,12825,20135324,62
2017-12-20 10:18:00,NIFTY,NFO,Futures,28-DEC-17,Others,0,10466.4502,10468.9502,10466.0498,10468.9502,12300,20134124,63
2017-12-20 10:19:00,NIFTY,NFO,Futures,28-DEC-17,Others,0,10468.0498,10468.5,10466.5996,10466.5996,12750,20134124,64
2017-12-20 10:20:00,NIFTY,NFO,Futures,28-DEC-17,Others,0,10466.5996,10467.1504,10465.5996,10465.7002,5700,20134124,65
2017-12-20 10:21:00,NIFTY,NFO,Futures,28-DEC-17,Others,0,10466.0996,10466.0996,10464,10464.0996,6300,20146200,66
2017-12-20 10:22:00,NIFTY,NFO,Futures,28-DEC-17,Others,0,10464.0996,10464.0996,10461.7002,10462,11700,20146200,67
2017-12-20 10:23:00,NIFTY,NFO,Futures,28-DEC-17,Others,0,10462,10462.3496,10460.3496,10460.3496,4800,20146200,68
2017-12-20 10:24:00,NIFTY,NFO,Futures,28-DEC-17,Others,0,10460.3496,10466,10460.2002,10465.8496,8625,20146200,69
2017-12-20 10:25:00,NIFTY,NFO,Futures,28-DEC-17,Others,0,10465.4004,10466.1504,10464.8496,10466.1504,4275,20146200,70
2017-12-20 10:26:00,NIFTY,NFO,Futures,28-DEC-17,Others,0,10466,10467.0498,10465.9004,10466.2998,6000,20146200,71
2017-12-20 10:27:00,NIFTY,NFO,Futures,28-DEC-17,Others,0,10466.3496,10467.4004,10466.0498,10466.7998,4350,20156700,72
2017-12-20 10:28:00,NIFTY,NFO,Futures,28-DEC-17,Others,0,10466.2002,10466.2002,10464.5,10464.5,10650,20156700,73
2017-12-20 10:29:00,NIFTY,NFO,Futures,28-DEC-17,Others,0,10466,10466.7002,10465.1504,10465.9502,3975,20156700,74
2017-12-20 10:30:00,NIFTY,NFO,Futures,28-DEC-17,Others,0,10465.25,10466.9502,10465.0498,10465.0498,9675,20165924,75
2017-12-20 10:31:00,NIFTY,NFO,Futures,28-DEC-17,Others,0,10465.0498,10469,10465.0498,10467.9004,13725,20165924,76
2017-12-20 10:32:00,NIFTY,NFO,Futures,28-DEC-17,Others,0,10468,10468.5996,10466.4004,10468.0996,11475,20165924,77
2017-12-20 10:33:00,NIFTY,NFO,Futures,28-DEC-17,Others,0,10468.2002,10469.9004,10468.2002,10469.9004,26325,20188200,78
2017-12-20 10:34:00,NIFTY,NFO,Futures,28-DEC-17,Others,0,10469.5498,10470,10466.6504,10467,15225,20188200,79
2017-12-20 10:35:00,NIFTY,NFO,Futures,28-DEC-17,Others,0,10466.8496,10469.1504,10466.8496,10467.5996,7200,20188200,80
2017-12-20 10:36:00,NIFTY,NFO,Futures,28-DEC-17,Others,0,10468,10469.1504,10467.9502,10468.0996,5925,20205976,81
2017-12-20 10:37:00,NIFTY,NFO,Futures,28-DEC-17,Others,0,10467.7998,10469.9502,10467.7998,10469.5,9675,20205976,82
2017-12-20 10:38:00,NIFTY,NFO,Futures,28-DEC-17,Others,0,10469.7002,10472,10469.7002,10470.7002,26100,20205976,83
2017-12-20 10:39:00,NIFTY,NFO,Futures,28-DEC-17,Others,0,10470.7998,10471.2998,10468,10468.8496,33750,20228324,84
2017-12-20 10:40:00,NIFTY,NFO,Futures,28-DEC-17,Others,0,10468.8496,10469.75,10468.0498,10468.75,17400,20228324,85
2017-12-20 10:41:00,NIFTY,NFO,Futures,28-DEC-17,Others,0,10468.75,10470,10468.5,10469.8496,24750,20228324,86
2017-12-20 10:42:00,NIFTY,NFO,Futures,28-DEC-17,Others,0,10469.3496,10469.9004,10465.1504,10465.1504,16275,20264776,87
2017-12-20 10:43:00,NIFTY,NFO,Futures,28-DEC-17,Others,0,10465.1504,10466.0996,10464.4004,10464.9004,17850,20264776,88
2017-12-20 10:44:00,NIFTY,NFO,Futures,28-DEC-17,Others,0,10464.75,10467,10464.4502,10466.5498,8475,20264776,89
2017-12-20 10:45:00,NIFTY,NFO,Futures,28-DEC-17,Others,0,10466.5498,10469.2998,10466.5498,10468.9502,9075,20290576,90
2017-12-20 10:46:00,NIFTY,NFO,Futures,28-DEC-17,Others,0,10469.0498,10469.3496,10467.7998,10468.75,7350,20290576,91
2017-12-20 10:47:00,NIFTY,NFO,Futures,28-DEC-17,Others,0,10469,10469,10466.0498,10466.5996,7725,20290576,92
2017-12-20 10:48:00,NIFTY,NFO,Futures,28-DEC-17,Others,0,10466.5996,10467,10466.0498,10466.5498,7050,20294850,93
2017-12-20 10:49:00,NIFTY,NFO,Futures,28-DEC-17,Others,0,10466.5996,10468.7002,10466.5498,10467.0996,13050,20294850,94
2017-12-20 10:50:00,NIFTY,NFO,Futures,28-DEC-17,Others,0,10467.0498,10467.2998,10465.7002,10466.4004,7800,20294850,95
2017-12-20 10:51:00,NIFTY,NFO,Futures,28-DEC-17,Others,0,10466.8496,10467.6504,10465.3496,10465.5498,11700,20308276,96
2017-12-20 10:52:00,NIFTY,NFO,Futures,28-DEC-17,Others,0,10465.5,10466,10465,10465,7350,20308276,97
2017-12-20 10:53:00,NIFTY,NFO,Futures,28-DEC-17,Others,0,10465,10466.9502,10465,10465.9502,5925,20308276,98
2017-12-20 10:54:00,NIFTY,NFO,Futures,28-DEC-17,Others,0,10466,10466.75,10465.4004,10466.2998,4200,20316076,99
2017-12-20 10:55:00,NIFTY,NFO,Futures,28-DEC-17,Others,0,10466.0996,10468,10466,10468,8475,20316076,100
2017-12-20 10:56:00,NIFTY,NFO,Futures,28-DEC-17,Others,0,10468,10469.5498,10467.5,10468.8496,7650,20316076,101
2017-12-20 10:57:00,NIFTY,NFO,Futures,28-DEC-17,Others,0,10468.7998,10468.7998,10467,10467,5625,20327100,102
2017-12-20 10:58:00,NIFTY,NFO,Futures,28-DEC-17,Others,0,10467.0498,10468.9004,10467.0498,10468.6504,4500,20327100,103
2017-12-20 10:59:00,NIFTY,NFO,Futures,28-DEC-17,Others,0,10468.5996,10470,10468.5996,10469.5,6525,20327100,104
2017-12-20 11:00:00,NIFTY,NFO,Futures,28-DEC-17,Others,0,10469.9004,10470,10468.7998,10469.5,15300,20332050,105
2017-12-20 11:01:00,NIFTY,NFO,Futures,28-DEC-17,Others,0,10469.9004,10471.5996,10469.5996,10471.3496,6525,20332050,106
2017-12-20 11:02:00,NIFTY,NFO,Futures,28-DEC-17,Others,0,10471.3496,10472,10470.8496,10471.9004,18900,20332050,107
