datetime,open,high,low,close,volume,open_interest
2024-10-11 09:15:00,25115.0,25115.0,25072.0,25082.75,177825,14042800
2024-10-11 09:20:00,25080.1,25101.45,25053.65,25089.0,117925,14087975
2024-10-11 09:25:00,25090.0,25110.0,25089.0,25109.0,56175,14094425
2024-10-11 09:30:00,25107.9,25115.0,25080.0,25090.0,70925,14098725
2024-10-11 09:35:00,25085.75,25095.0,25080.0,25084.0,40475,14108875
2024-10-11 09:40:00,25089.45,25098.6,25070.2,25098.6,50625,14112050
2024-10-11 09:45:00,25099.95,25130.0,25090.5,25115.95,111250,14125550
2024-10-11 09:50:00,25120.0,25139.95,25120.0,25125.9,63150,14115400
2024-10-11 09:55:00,25125.75,25139.0,25110.2,25116.9,52750,14097850
2024-10-11 10:00:00,25119.0,25129.9,25110.9,25122.6,30225,14096550
2024-10-11 10:05:00,25119.8,25147.0,25119.8,25140.0,43975,14096200
2024-10-11 10:10:00,25142.0,25150.0,25135.1,25144.0,36150,14091650
2024-10-11 10:15:00,25146.0,25148.0,25128.0,25128.0,46275,14094350
2024-10-11 10:20:00,25135.0,25136.0,25121.6,25131.4,18425,14107025
2024-10-11 10:25:00,25132.0,25135.0,25106.45,25111.9,28575,14087350
2024-10-11 10:30:00,25106.8,25118.0,25104.0,25111.25,18850,14087750
2024-10-11 10:35:00,25111.0,25111.3,25083.05,25091.05,50100,14084125
2024-10-11 10:40:00,25092.95,25096.95,25075.0,25089.3,60450,14088075
2024-10-11 10:45:00,25088.85,25098.0,25076.05,25098.0,32000,14091575
2024-10-11 10:50:00,25097.95,25099.0,25085.0,25096.45,20425,14088200
2024-10-11 10:55:00,25096.9,25098.0,25049.05,25057.55,83200,14086175
2024-10-11 11:00:00,25050.05,25073.35,25050.0,25058.0,77650,14077500
2024-10-11 11:05:00,25056.05,25057.0,25025.05,25050.05,141250,14084125
2024-10-11 11:10:00,25050.05,25059.0,25041.65,25053.85,36100,14087850
2024-10-11 11:15:00,25054.0,25064.0,25035.0,25036.0,47475,14090225
2024-10-11 11:20:00,25035.05,25040.6,25014.6,25021.55,135875,14069725
2024-10-11 11:25:00,25016.05,25025.0,25001.1,25021.1,150675,14054775
2024-10-11 11:30:00,25021.8,25030.55,25010.65,25020.0,58675,14067550
2024-10-11 11:35:00,25019.1,25028.7,25010.0,25015.0,36825,14063350
2024-10-11 11:40:00,25013.65,25024.35,25001.55,25016.0,38450,14066700
2024-10-11 11:45:00,25016.0,25025.65,25010.05,25023.0,25250,14063325
2024-10-11 11:50:00,25022.15,25043.0,25020.2,25040.0,33900,14029675
2024-10-11 11:55:00,25038.25,25045.0,25033.65,25036.15,12950,14026050
2024-10-11 12:00:00,25038.0,25045.0,25030.0,25043.0,19375,14025925
2024-10-11 12:05:00,25045.0,25048.15,25035.65,25042.95,13900,14024925
2024-10-11 12:10:00,25040.45,25045.0,25030.0,25044.1,14300,14023175
2024-10-11 12:15:00,25045.0,25049.5,25036.15,25040.0,13425,14024075
2024-10-11 12:20:00,25039.4,25048.0,25035.0,25035.85,12850,14019925
2024-10-11 12:25:00,25035.85,25058.0,25035.85,25055.0,24775,14014950
2024-10-11 12:30:00,25057.0,25060.0,25045.0,25060.0,21825,14015675
2024-10-11 12:35:00,25060.0,25063.65,25050.0,25060.0,21275,14011250
2024-10-11 12:40:00,25060.0,25061.05,25046.0,25048.5,23825,14010625
2024-10-11 12:45:00,25048.0,25055.0,25042.0,25048.8,16175,14012300
2024-10-11 12:50:00,25049.35,25054.0,25045.0,25045.05,12025,14012550
2024-10-11 12:55:00,25044.95,25055.0,25042.95,25051.5,12150,14005550
2024-10-11 13:00:00,25051.55,25055.0,25045.95,25050.0,9925,14005550
2024-10-11 13:05:00,25049.55,25056.8,25046.0,25054.25,8350,14004525
2024-10-11 13:10:00,25055.0,25065.75,25054.25,25057.8,24925,13995650
2024-10-11 13:15:00,25057.6,25083.95,25053.2,25080.0,28775,13992975
2024-10-11 13:20:00,25082.95,25087.1,25072.75,25075.0,31750,13988400
2024-10-11 13:25:00,25074.0,25074.95,25063.2,25070.25,19075,13987400
